代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
0050,元大台灣50,12/30,65.15,-0.1,-0.15,2025,半年,3.06,0,3.06,51.45,2.06,,0,2.06,'25/07/21,,'25/08/08
0051,元大中型100,12/30,91.55,+0.3,+0.33,2025,年,3,0,3,91.1,3.29,,0,3.29,'25/11/21,,'25/12/12
0052,富邦科技,12/30,37.45,+0.05,+0.13,2025,年,3.23,0,3.23,153,2.11,,0,2.11,'25/04/23,,'25/05/19
0053,元大電子,12/30,139.9,-0.4,-0.29,2025,年,3,0,3,136.6,2.2,,0,2.2,'25/11/21,,'25/12/12
0055,元大MSCI金融,12/30,32.03,-0.1,-0.31,2025,年,1.25,0,1.25,30.63,4.08,,0,4.08,'25/11/21,,'25/12/12
0056,元大高股息,12/30,36.69,-0.04,-0.11,2025,季,3.872,0,3.872,37.75,11,,0,11,'25/10/23,,'25/11/14
0057,富邦摩台,12/30,190.95,+0.25,+0.13,2024,年,0,0,0,,0,,0,0,,,
0061,元大寶滬深,12/30,23.2,+0.1,+0.43,2024,無,0,0,0,,0,,0,0,,,
006201,元大富櫃50,12/30,25.33,+0.25,+1,2025,年,0.77,0,0.77,23.89,3.22,,0,3.22,'25/11/21,,'25/12/12
006203,元大MSCI台灣,12/30,118.2,+0.2,+0.17,2025,半年,2.45,0,2.45,94.1,2.63,,0,2.63,'25/07/21,,'25/08/08
006204,永豐臺灣加權,12/30,146.15,0,0,2025,年,3.259,0,3.259,142.1,2.29,,0,2.29,'25/10/23,,'25/11/20
006205,富邦上証,12/30,39.47,+0.01,+0.03,2024,無,0,0,0,,0,,0,0,,,
006206,元大上證50,12/30,37.24,+0.16,+0.43,2024,無,0,0,0,,0,,0,0,,,
006207,復華滬深,12/30,30.8,+0.02,+0.06,2024,無,0,0,0,,0,,0,0,,,
006208,富邦台50,12/30,149.15,-0.05,-0.03,2025,半年,4.437,0,4.437,144.8,3.23,,0,3.23,'25/11/18,,'25/12/11
00625K,富邦上証+R,12/30,8.82,0,0,2024,無,0,0,0,,0,,0,0,,,
