股票代號,股票名稱,產業,股價,紀念品,最後買進日,現金股利,合計股利,殖利率(%),除息日,發放日
3056,富華新,建材營造業,18.15,統一商品卡50元,4/16/25,2.00,5.50,16.50,'25/08/07,'25/09/12
2603,長榮,航運業,191.00,掌廚可樂膳無印耐熱矽膠料理配件6件組,3/26/25,32.50,32.50,13.20,'25/06/19,'25/07/18
6016,康和證,證券業,13.05,統一商品卡50元,3/25/25,0.23,1.23,10.40,'25/08/04,'25/08/27
1463,強盛新,紡織纖維,18.95,統一商品卡50元,3/26/25,2.10,2.10,9.66,'25/10/16,'25/11/12
6703,軒郁,生技醫療業,107.50,膠原飲品,4/9/25,10.00,12.00,8.76,'25/09/02,'25/09/30
4909,新復興,通信網路業,61.30,統一商品卡35元,4/23/25,6.00,6.00,8.29,'25/07/21,'25/08/15
6180,橘子,文化創意業,52.60,購物橘子現金抵用券88元(已過使用期限改發替品),4/23/25,6.00,6.00,8.20,'25/07/17,'25/08/08
2611,志信,航運業,14.75,統一商品卡35元,4/17/25,1.64,1.64,8.16,'25/07/02,'25/07/31
2520,冠德,建材營造業,34.60,環球購物中心禮券100元,3/26/25,3.10,4.10,8.09,'25/08/05,'25/09/01
6216,居易,通信網路業,26.65,輕薄辦公室便利貼,4/23/25,2.53,2.53,7.86,'25/08/27,'25/10/01
5356,協益,電腦及週邊設備業,24.85,萊爾富超商35元商品卡,3/26/25,2.30,2.30,7.85,'25/07/02,'25/07/24
2020,美亞,鋼鐵工業,23.80,全家禮物卡50元,3/26/25,2.20,2.20,7.84,'25/06/11,'25/07/04
4162,智擎,生技醫療業,70.10,倍力莓,3/20/25,6.00,6.00,7.69,'25/08/13,'25/08/29
4306,炎洲,塑膠工業,14.30,統一商品卡50元,4/17/25,1.00,1.20,7.59,'25/09/01,'25/09/26
6189,豐藝,電子通路業,44.65,全家禮物卡50元,3/26/25,4.00,6.00,7.59,'25/07/25,'25/08/29
9935,慶豐富,居家生活,20.25,全家禮物卡50元,3/19/25,1.80,1.80,7.58,'25/07/02,'25/07/24
6486,互動,通信網路業,82.80,全家禮物卡35元,3/20/25,5.87,5.87,7.41,'25/07/15,'25/08/08
8436,大江,生技醫療業,109.50,至尊膠原面膜限量盲盒,4/23/25,10.00,10.00,7.41,'25/09/05,'25/09/30
2109,華豐,橡膠工業,14.90,超商商品卡50元,10/29/25,1.30,1.30,7.36,'25/09/25,'25/10/20
6248,沛波,鋼鐵工業,20.90,常健順暢益生菌(改發甲魚全沛全方位維他命),3/25/25,1.80,1.80,7.27,'25/08/26,'25/09/25
1582,信錦,電子零組件業,66.70,統一商品卡100元,3/26/25,5.50,5.50,7.14,'25/06/16,'25/07/11
4735,豪展,生技醫療業,32.30,統一商品卡50元,4/9/25,2.30,2.30,7.12,'25/12/02,'25/12/19
6294,智基,文化創意業,47.00,學費旅費兌換券500元,4/16/25,3.20,3.80,7.10,'25/07/31,'25/09/04
3481,群創,光電業,16.30,台灣產製真空包裝白米1公斤,3/5/25,1.00,1.00,7.09,'25/05/22,'25/06/19
3209,全科,電子通路業,31.50,旅行收納袋,4/16/25,2.48,2.48,6.96,'25/08/12,'25/08/29
8916,光隆,其他業,49.65,統一商品卡50元,3/26/25,3.59,3.59,6.93,'25/07/29,'25/08/21
8049,晶采,光電業,25.05,時尚保溫袋,3/26/25,2.00,2.00,6.90,'25/06/23,'25/07/18
3526,凡甲,電子零組件業,243.50,蜂王清新植感草本皂二入盒,4/10/25,16.46,16.46,6.89,'25/04/11,'25/05/08
6005,群益證,證券業,23.90,滾珠按摩器,3/26/25,1.50,1.50,6.79,'25/06/17,'25/07/14
5315,光聯,光電業,23.90,台灣米或等值物品,3/18/25,1.50,1.50,6.62,'25/07/01,'25/07/30
3206,志豐,電子零組件業,32.00,木製精巧手機座,3/26/25,2.50,2.50,6.61,'25/07/24,'25/08/21
