產業,股票代號,股票名稱,股價,發放頻率,現金股利,股票股利,合計股利,殖利率(%),除息日,發放日
建材營造業,3056,富華新,18.15,年,2.00,3.50,5.50,16.50,'25/08/07,'25/09/12
化學工業,1713,國化,44.70,年,7.50,0.00,7.50,13.60,'25/08/07,'25/08/29
航運業,2603,長榮,191.00,年,32.50,0.00,32.50,13.20,'25/06/19,'25/07/18
ETF,00701,國泰股利精選30,29.36,半年,3.85,0.00,3.85,13.10,'25/08/18,'25/09/11
建材營造業,5508,永信建,66.90,年,14.50,0.00,14.50,11.50,'25/07/16,'25/08/06
ETF,00919,群益台灣精選高息,22.48,季,2.52,0.00,2.52,11.10,'25/12/16,'26/01/13
ETF,0056,元大高股息,36.69,季,3.87,0.00,3.87,11.00,'25/10/23,'25/11/14
建材營造業,1436,華友聯,65.30,年,9.80,3.01,12.81,11.00,'25/07/21,'25/08/25
ETF,00918,大華優利高填息30,22.55,季,2.48,0.00,2.48,10.80,'25/12/18,'26/01/13
ETF,00896,中信綠能及電動車,18.98,季,1.85,0.00,1.85,10.50,'25/12/16,'26/01/13
航運業,2609,陽明,56.30,年,7.50,0.00,7.50,10.40,'25/07/09,'25/08/01
證券業,6016,康和證,13.05,年,0.23,1.00,1.23,10.40,'25/08/04,'25/08/27
ETF,00891,中信關鍵半導體,19.87,季,1.83,0.00,1.83,10.00,'25/11/18,'25/12/12
ETF,00858,永豐美國500大,34.02,半年,3.30,0.00,3.30,9.94,'25/07/24,'25/08/19
ETF,00901,永豐智能車供應鏈,25.00,年,2.60,0.00,2.60,9.90,'25/11/25,'25/12/19
電機機械,6606,建德工業,25.10,年,3.00,0.00,3.00,9.72,'25/03/28,'25/04/25
紡織纖維,1463,強盛新,18.95,年,2.10,0.00,2.10,9.66,'25/10/16,'25/11/12
汽車工業,2228,劍麟,106.00,年,9.00,0.00,9.00,9.44,'25/07/08,'25/07/31
證券業,2855,統一證,23.90,年,1.10,1.00,2.10,9.29,'25/07/08,'25/08/12
建材營造業,9906,欣巴巴,51.20,年,6.50,0.00,6.50,9.22,'25/09/04,'25/09/30
其他業,9927,泰銘,68.30,年,6.00,0.00,6.00,9.13,'25/08/26,'25/09/15
其他業,5209,新鼎,166.50,年,11.33,0.00,11.33,9.03,'25/06/26,'25/07/23
證券業,5864,致和證,14.90,年,0.40,0.80,1.20,8.99,'25/07/04,'25/08/08
生技醫療業,6703,軒郁,107.50,半年,10.00,2.00,12.00,8.76,'25/09/02,'25/09/30
建材營造業,5519,隆大,33.40,年,3.00,0.00,3.00,8.76,'25/06/17,'25/07/18
ETF,00900,富邦特選高股息30,13.73,月,1.18,0.00,1.18,8.75,'25/12/16,'26/01/12
建材營造業,2545,皇翔,39.10,年,4.50,0.00,4.50,8.70,'25/06/17,'25/07/11
其他業,2348,海悅,81.90,年,9.00,0.00,9.00,8.70,'25/07/15,'25/08/11
紡織纖維,1446,宏和,18.25,年,2.00,0.00,2.00,8.68,'25/07/21,'25/08/15
ETF,00712,復華富時不動產,9.14,季,0.79,0.00,0.79,8.65,'25/12/17,'26/01/14
證券業,6026,福邦證,13.10,年,1.10,0.00,1.10,8.65,'25/06/13,'25/07/07
觀光餐旅,2751,王座,62.00,半年,5.99,0.00,5.99,8.64,'25/08/28,'25/09/30
其他業,2496,卓越,68.40,半年,7.18,0.00,7.18,8.59,'25/08/27,'25/09/19
建材營造業,6177,達麗,53.70,年,3.50,0.50,4.00,8.55,'25/08/05,'25/09/05
ETF,00830,國泰費城半導體,58.05,年,3.96,0.00,3.96,8.29,'25/01/17,'25/02/18
通信網路業,4909,新復興,61.30,年,6.00,0.00,6.00,8.29,'25/07/21,'25/08/15
ETF,00917,中信特選金融,25.70,年,2.00,0.00,2.00,8.25,'25/01/17,'25/02/20
生技醫療業,4137,麗豐-KY,99.40,季,10.00,0.00,10.00,8.23,'25/07/03,'25/07/31
ETF,00882,中信中國高股息,15.23,半年,1.08,0.00,1.08,8.22,'25/07/16,'25/08/11
文化創意業,6180,橘子,52.60,年,6.00,0.00,6.00,8.20,'25/07/17,'25/08/08
ETF,00878,國泰永續高股息,21.70,季,1.77,0.00,1.77,8.17,'25/11/18,'25/12/12
航運業,2611,志信,14.75,年,1.64,0.00,1.64,8.16,'25/07/02,'25/07/31
紡織纖維,1475,業旺,30.35,年,3.60,0.00,3.60,8.10,'25/07/03,'25/07/25
紡織纖維,4420,光明,50.20,半年,5.50,0.00,5.50,8.09,'25/03/27,'25/04/30
建材營造業,2520,冠德,34.60,年,3.10,1.00,4.10,8.09,'25/08/05,'25/09/01
其他業,3284,太普高,21.00,年,0.80,1.20,2.00,8.05,'25/08/21,'25/09/26
ETF,00894,中信小資高價30,27.46,季,1.75,0.00,1.75,7.96,'25/11/18,'25/12/12
電腦及週邊設備業,2387,精元,38.50,年,4.00,0.00,4.00,7.94,'25/06/24,'25/07/21
建材營造業,5515,建國,35.45,年,2.15,0.00,2.15,7.88,'25/07/03,'25/07/31
證券業,6021,美好證,25.10,半年,1.84,0.00,1.84,7.88,'25/04/17,'25/05/23
通信網路業,6216,居易,26.65,年,2.53,0.00,2.53,7.86,'25/08/27,'25/10/01
電腦及週邊設備業,5356,協益,24.85,年,2.30,0.00,2.30,7.85,'25/07/02,'25/07/24
鋼鐵工業,2020,美亞,23.80,年,2.20,0.00,2.20,7.84,'25/06/11,'25/07/04
ETF,00922,國泰台灣領袖50,25.77,半年,1.88,0.00,1.88,7.80,'25/10/20,'25/11/13
光電業,4933,友輝,58.90,年,5.99,0.00,5.99,7.72,'25/07/22,'25/08/22
ETF,00713,元大台灣高息低波,50.85,季,4.06,0.00,4.06,7.70,'25/12/19,'26/01/12
生技醫療業,4162,智擎,70.10,年,6.00,0.00,6.00,7.69,'25/08/13,'25/08/29
ETF,00770,國泰北美科技,58.15,年,4.00,0.00,4.00,7.68,'25/01/17,'25/02/18
其他業,8442,威宏-KY,69.90,年,6.41,0.00,6.41,7.66,'25/07/14,'25/08/08
居家生活,8433,弘帆,51.70,年,6.46,0.00,6.46,7.64,'25/04/25,'25/05/27
航運業,2637,慧洋-KY,68.90,年,5.00,0.00,5.00,7.63,'25/06/13,'25/07/11
生技醫療業,6523,達爾膚,117.50,季,10.00,0.00,10.00,7.62,'25/12/04,'25/12/31
塑膠工業,4306,炎洲,14.30,年,1.00,0.20,1.20,7.59,'25/09/01,'25/09/26
電子通路業,6189,豐藝,44.65,年,4.00,2.00,6.00,7.59,'25/07/25,'25/08/29
電子零組件業,6292,迅德,40.45,年,4.00,0.00,4.00,7.58,'25/07/01,'25/07/25
光電業,3356,奇偶,46.75,年,4.00,0.00,4.00,7.58,'25/10/03,'25/10/30
居家生活,9935,慶豐富,20.25,年,1.80,0.00,1.80,7.58,'25/07/02,'25/07/24
其他電子業,5225,東科-KY,99.50,年,10.39,0.00,10.39,7.56,'25/03/27,'25/04/22
保險業,2851,中再保,26.25,年,1.90,0.00,1.90,7.51,'25/06/27,'25/07/18
ETF,00923,群益台ESG低碳50,25.86,半年,1.69,0.00,1.69,7.49,'25/08/18,'25/09/11
電子零組件業,6924,榮惠-KY創,69.30,年,5.50,0.00,5.50,7.45,'25/06/26,'25/07/25
保險業,2852,第一保,27.70,年,2.10,0.00,2.10,7.42,'25/07/15,'25/08/08
塑膠工業,1307,三芳,32.40,年,2.70,0.00,2.70,7.41,'25/07/10,'25/08/06
生技醫療業,8436,大江,109.50,年,10.00,0.00,10.00,7.41,'25/09/05,'25/09/30
通信網路業,6486,互動,82.80,年,5.87,0.00,5.87,7.41,'25/07/15,'25/08/08
橡膠工業,2109,華豐,14.90,半年,1.30,0.00,1.30,7.36,'25/09/25,'25/10/20
文化創意業,6596,寬宏藝術,139.50,年,7.00,0.00,7.00,7.36,'25/04/01,'25/04/30
建材營造業,6212,理銘,41.95,年,3.50,0.00,3.50,7.35,'25/07/17,'25/08/15
ETF,00904,新光臺灣半導體30,23.06,季,1.43,0.00,1.43,7.34,'25/10/22,'25/11/18
文化創意業,8446,華研,96.70,半年,8.00,0.00,8.00,7.34,'25/04/17,
其他業,6957,裕慶-KY,192.00,年,13.16,0.00,13.16,7.33,'25/07/03,'25/07/28
汽車工業,2204,中華,59.40,年,4.20,0.00,4.20,7.29,'25/07/17,'25/08/20
鋼鐵工業,6248,沛波,20.90,年,1.80,0.00,1.80,7.27,'25/08/26,'25/09/25
居家生活,2916,滿心,49.00,年,3.60,0.00,3.60,7.27,'25/06/27,'25/07/18
建材營造業,2527,宏璟,29.10,年,2.00,0.00,2.00,7.25,'25/08/25,'25/09/17
電機機械,1537,廣隆,125.50,年,10.50,0.00,10.50,7.24,'25/08/19,'25/09/09
建材營造業,2530,華建,27.90,季,2.27,0.00,2.27,7.22,'25/12/09,'26/01/07
電子零組件業,1582,信錦,66.70,年,5.50,0.00,5.50,7.14,'25/06/16,'25/07/11
其他業,6904,伯鑫,115.00,年,9.00,0.00,9.00,7.14,'25/07/16,'25/08/08
電機機械,4550,長佳,25.25,年,2.00,0.00,2.00,7.12,'25/06/16,'25/07/10
生技醫療業,4735,豪展,32.30,季,2.30,0.00,2.30,7.12,'25/12/02,'25/12/19
文化創意業,6294,智基,47.00,年,3.20,0.60,3.80,7.10,'25/07/31,'25/09/04
光電業,3481,群創,16.30,年,1.00,0.00,1.00,7.09,'25/05/22,'25/06/19
生技醫療業,4736,泰博,121.50,年,10.00,0.00,10.00,7.07,'25/09/04,'25/09/25
半導體業,6996,力領科技,146.50,年,12.65,0.00,12.65,7.07,'25/04/24,'25/05/27
光電業,6176,瑞儀,125.50,年,10.61,0.00,10.61,7.07,'25/06/20,'25/07/18
電腦及週邊設備業,6128,上福,22.80,年,2.50,0.00,2.50,7.04,'25/04/17,'25/05/13
電子零組件業,8182,加高,25.90,年,2.00,0.00,2.00,7.04,'25/07/16,'25/08/15
建材營造業,6171,大城地產,28.75,年,2.50,0.00,2.50,7.02,'25/07/30,'25/08/25
居家生活,2062,橋椿,20.60,年,1.80,0.00,1.80,7.02,'25/08/28,'25/09/26
居家生活,3171,炎洲流通,46.90,年,3.00,0.00,3.00,7.01,'25/07/10,'25/08/01
鋼鐵工業,7718,友鋮,43.15,年,3.50,0.00,3.50,6.99,'25/06/30,'25/07/18
觀光餐旅,7705,三商餐飲,40.00,年,3.80,0.00,3.80,6.99,'25/07/17,'25/08/22
塑膠工業,1341,富林-KY,58.90,季,5.20,0.00,5.20,6.96,'25/03/27,'25/05/06
建材營造業,1442,名軒,30.35,年,4.50,0.00,4.50,6.96,'25/08/21,'25/09/19
電子通路業,3209,全科,31.50,年,2.48,0.00,2.48,6.96,'25/08/12,'25/08/29
ETF,00728,第一金工業30,37.06,季,2.23,0.00,2.23,6.95,'25/12/18,'26/01/13
紡織纖維,1464,得力,11.20,年,0.50,0.44,0.94,6.94,'25/08/05,'25/09/19
保險業,2850,新產,116.50,年,7.15,0.00,7.15,6.94,'25/06/27,'25/07/22
綠能環保,7715,裕山,30.40,年,2.99,0.00,2.99,6.94,'25/06/23,'25/07/17
鋼鐵工業,2010,春源,20.50,年,1.30,0.00,1.30,6.93,'25/04/17,'25/05/23
電子零組件業,6266,泰詠,29.10,年,1.78,0.59,2.38,6.93,'25/06/19,'25/07/25
其他業,8916,光隆,49.65,年,3.59,0.00,3.59,6.93,'25/07/29,'25/08/21
電子零組件業,3679,新至陞,114.00,年,10.00,0.00,10.00,6.92,'25/06/12,'25/07/09
居家生活,8482,商億-KY,49.35,年,4.36,0.00,4.36,6.92,'25/07/02,'25/07/25
航運業,6757,台灣虎航,65.00,年,6.05,0.00,6.05,6.90,'25/09/18,'25/10/16
光電業,2393,億光,55.10,年,5.31,0.00,5.31,6.90,'25/07/31,'25/08/29
光電業,8049,晶采,25.05,年,2.00,0.00,2.00,6.90,'25/06/23,'25/07/18
電子零組件業,3526,凡甲,243.50,年,16.46,0.00,16.46,6.89,'25/04/11,'25/05/08
建材營造業,5534,長虹,86.20,年,5.50,0.00,5.50,6.88,'25/08/28,'25/09/30
ETF,00690,兆豐藍籌30,44.50,季,2.65,0.00,2.65,6.86,'25/11/18,'25/12/05
其他業,8401,白紗科,28.70,年,1.50,0.70,2.20,6.86,'25/03/27,'25/04/24
ETF,00909,國泰數位支付服務,39.55,年,1.81,0.00,1.81,6.85,'24/04/18,'24/05/15
其他電子業,6903,巨漢,215.50,年,8.00,0.00,8.00,6.84,'25/06/20,'25/07/14
塑膠工業,1315,達新,64.30,半年,4.50,0.00,4.50,6.81,'25/09/01,'25/09/26
電腦及週邊設備業,6161,捷波,45.60,年,3.00,0.00,3.00,6.81,'25/07/31,'25/08/20
半導體業,8091,翔名,112.00,年,8.00,0.00,8.00,6.81,'25/04/16,'25/05/20
電子零組件業,3501,維熹,48.70,年,4.00,0.00,4.00,6.80,'25/07/31,'25/08/27
證券業,6005,群益證,23.90,年,1.50,0.00,1.50,6.79,'25/06/17,'25/07/14
運動休閒,2762,世界健身-KY,76.80,季,5.53,0.00,5.53,6.79,'25/11/27,'25/12/18
運動休閒,9960,邁達康,21.25,年,1.70,0.00,1.70,6.79,'25/08/14,'25/09/09
電腦及週邊設備業,6577,勁豐,69.00,年,6.00,0.00,6.00,6.77,'25/06/24,'25/07/24
化學工業,4741,泓瀚,21.00,年,1.20,0.60,1.80,6.75,'25/08/26,'25/09/30
半導體業,8081,致新,208.50,年,16.00,0.00,16.00,6.75,'25/06/30,'25/07/25
ETF,00888,永豐台灣ESG,20.23,季,1.16,0.00,1.16,6.71,'25/10/23,'25/11/20
紡織纖維,1473,台南,24.80,年,2.00,0.00,2.00,6.70,'25/06/11,'25/06/30
ETF,00913,兆豐台灣晶圓製造,24.89,半年,1.40,0.00,1.40,6.69,'25/08/18,'25/09/04
ETF,00927,群益半導體收益,21.63,季,1.18,0.00,1.18,6.69,'25/10/20,'25/11/14
光電業,4995,晶達,41.05,年,4.00,0.00,4.00,6.69,'25/05/28,'25/06/20
鋼鐵工業,8930,青鋼,32.85,年,2.80,0.00,2.80,6.66,'25/03/26,'25/04/23
汽車工業,1522,堤維西,46.25,年,3.00,0.00,3.00,6.65,'25/07/17,'25/08/15
電機機械,2235,謚源,34.30,年,3.00,0.00,3.00,6.62,'25/07/15,'25/08/14
光電業,5315,光聯,23.90,年,1.50,0.00,1.50,6.62,'25/07/01,'25/07/30
電子零組件業,3206,志豐,32.00,年,2.50,0.00,2.50,6.61,'25/07/24,'25/08/21
其他業,2614,東森,22.85,年,0.25,0.90,1.15,6.61,'25/07/09,'25/08/13
其他業,6585,鼎基,88.00,年,7.92,0.00,7.92,6.60,'25/06/30,'25/07/10
半導體業,3014,聯陽,114.00,年,9.00,0.00,9.00,6.57,'25/07/08,'25/08/07
電子零組件業,3026,禾伸堂,100.00,年,5.50,0.00,5.50,6.57,'25/06/23,'25/07/18
建材營造業,5546,永固-KY,22.45,年,2.00,0.00,2.00,6.57,'25/07/21,'25/08/18
塑膠工業,4305,世坤,41.70,年,3.20,0.00,3.20,6.56,'25/07/30,'25/08/26
電子零組件業,2385,群光,118.00,年,10.00,0.00,10.00,6.54,'25/06/17,'25/07/11
電子通路業,8112,至上,75.80,年,3.35,0.00,3.35,6.54,'25/06/25,'25/07/25
電機機械,1532,勤美,26.40,年,1.73,0.00,1.73,6.52,'25/07/22,'25/08/14
電機機械,4527,方土霖,39.30,年,3.20,0.00,3.20,6.51,'25/05/28,'25/06/20
電機機械,6122,擎邦,49.90,年,3.27,0.00,3.27,6.50,'25/08/12,'25/09/10
電腦及週邊設備業,8410,森田,35.65,年,3.00,0.00,3.00,6.49,'25/08/28,'25/09/26
汽車工業,2227,裕日車,55.10,年,3.90,0.00,3.90,6.48,'25/08/27,'25/09/24
半導體業,6651,全宇昕,80.60,年,7.00,0.00,7.00,6.48,'25/03/27,'25/04/25
電子零組件業,6538,倉和,68.90,年,7.00,0.00,7.00,6.48,'25/06/16,'25/07/11
建材營造業,1808,潤隆,34.50,年,2.00,0.00,2.00,6.48,'25/09/25,'25/10/31
電腦及週邊設備業,5215,科嘉-KY,35.05,年,2.50,0.00,2.50,6.47,'25/07/14,'25/08/08
居家生活,2937,集雅社,43.05,年,2.00,1.00,3.00,6.47,'25/04/17,'25/05/20
電腦及週邊設備業,3211,順達,342.50,年,12.50,0.00,12.50,6.46,'25/06/10,'25/07/07
半導體業,3567,逸昌,25.30,年,1.80,0.00,1.80,6.46,'25/07/10,'25/08/08
其他電子業,2488,漢平,45.80,年,3.20,0.00,3.20,6.45,'25/09/17,'25/10/17
通信網路業,6143,振曜,123.00,年,7.00,0.00,7.00,6.45,'25/04/11,'25/05/08
其他業,9940,信義,22.60,年,1.80,0.00,1.80,6.43,'25/06/10,'25/07/09
建材營造業,2535,達欣工,63.20,年,3.75,0.00,3.75,6.40,'25/04/01,'25/05/07
建材營造業,2504,國產,37.30,年,2.80,0.00,2.80,6.39,'25/06/24,'25/07/18
通信網路業,3025,星通,65.10,年,3.30,0.00,3.30,6.38,'25/08/28,'25/09/26
運動休閒,8924,大田,72.10,年,4.30,0.00,4.30,6.38,'25/06/03,'25/06/20
電子零組件業,6108,競國,14.55,年,1.00,0.00,1.00,6.37,'25/08/28,'25/09/19
汽車工業,1339,昭輝,44.05,年,3.00,0.00,3.00,6.36,'25/09/04,'25/10/01
通信網路業,8011,台通,22.40,年,1.40,0.00,1.40,6.36,'25/06/17,'25/07/11
數位雲端,8487,愛爾達-創,77.90,年,5.20,0.00,5.20,6.35,'25/06/03,'25/06/30
運動休閒,6670,復盛應用,258.00,年,19.65,0.00,19.65,6.35,'25/07/07,'25/07/31
居家生活,6754,匯僑設計,48.10,年,4.00,0.00,4.00,6.35,'25/07/01,'25/07/25
紡織纖維,4440,宜新實業,17.65,年,1.60,0.00,1.60,6.32,'25/04/01,'25/04/29
建材營造業,5548,安倉,24.10,年,1.40,0.25,1.65,6.32,'25/07/22,'25/08/22
電子通路業,8070,長華*,43.10,半年,2.71,0.00,2.71,6.31,'25/12/18,'26/01/16
其他電子業,6201,亞弘電,56.50,年,4.00,0.00,4.00,6.30,'25/08/04,'25/08/29
建材營造業,2540,愛山林,51.00,年,1.00,4.00,5.00,6.29,'25/09/30,'25/10/31
鋼鐵工業,5015,華祺,27.75,年,2.30,0.00,2.30,6.28,'25/07/04,'25/07/30
汽車工業,1524,耿鼎,28.05,年,2.30,0.00,2.30,6.28,'25/04/17,'25/05/16
電子零組件業,8103,瀚荃,86.00,年,2.86,0.00,2.86,6.28,'25/07/09,'25/08/01
居家生活,9924,福興,52.30,年,3.10,0.00,3.10,6.27,'25/06/11,'25/07/03
其他業,6881,潤德,228.50,年,15.00,0.00,15.00,6.25,'25/06/10,'25/06/25
食品工業,1218,泰山,18.15,季,1.35,0.00,1.35,6.24,'25/06/26,'25/07/18
建材營造業,5520,力泰,89.00,年,5.50,0.00,5.50,6.24,'25/03/27,'25/04/23
航運業,5609,中菲行,79.40,年,5.20,0.00,5.20,6.24,'25/06/06,'25/06/26
化學工業,4720,德淵,15.15,年,1.00,0.00,1.00,6.23,'25/07/09,'25/08/08
通信網路業,2439,美律,98.30,年,7.29,0.00,7.29,6.23,'25/08/28,'25/09/26
生技醫療業,1777,生泰,73.40,年,5.30,0.00,5.30,6.21,'25/07/21,'25/08/15
其他業,9933,中鼎,31.25,年,1.00,1.00,2.00,6.21,'25/08/15,'25/09/17
電機機械,1580,新麥,134.00,年,9.16,0.00,9.16,6.19,'25/08/14,'25/09/11
電子通路業,3028,增你強,37.50,年,2.10,0.00,2.10,6.19,'25/07/10,'25/07/31
電機機械,8083,瑞穎,157.50,年,10.00,0.00,10.00,6.17,'25/07/10,'25/07/30
居家生活,6807,峰源-KY,45.80,年,4.50,0.00,4.50,6.17,'25/07/02,'25/07/31
其他電子業,2459,敦吉,65.70,年,4.00,0.00,4.00,6.16,'25/06/18,'25/07/09
建材營造業,5511,德昌,65.50,年,3.80,0.00,3.80,6.16,'25/07/08,'25/07/29
居家生活,7782,光速火箭,29.50,年,3.02,0.00,3.02,6.16,'25/08/05,'25/08/29
半導體業,6147,頎邦,52.90,年,3.75,0.00,3.75,6.15,'25/06/17,'25/07/15
其他業,8342,益張,85.90,年,5.00,0.00,5.00,6.13,'25/06/30,'25/07/25
電腦及週邊設備業,4987,科誠,71.40,年,5.20,0.00,5.20,6.12,'25/07/23,'25/08/15
電機機械,4580,捷流閥業,80.90,年,5.00,0.00,5.00,6.10,'25/07/29,'25/08/21
鋼鐵工業,2211,長榮鋼,97.60,年,5.00,0.00,5.00,6.10,'25/07/17,'25/08/08
居家生活,6671,三能-KY,35.90,年,2.60,0.00,2.60,6.10,'25/07/18,'25/08/15
觀光餐旅,9943,好樂迪,60.80,年,4.80,0.00,4.80,6.08,'25/07/07,'25/07/31
其他業,8435,鉅邁,53.10,年,4.50,0.00,4.50,6.08,'25/05/27,'25/06/27
