代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2323,中環,12/30,10.6,+0.1,+0.95,2025,年,0.3,0,0.3,8.76,3.42,,0,3.42,'25/09/04,,'25/10/03
2349,錸德,12/30,14.95,-0.1,-0.66,2025,年,0,0,0,,0,,0,0,,,
2374,佳能,12/30,79.4,+1.3,+1.66,2025,年,0.599,1.198,1.797,107,0.56,107,1.12,1.68,'25/09/17,'25/09/17,'25/10/17
2393,億光,12/30,55.1,-1.1,-1.96,2025,年,5.31,0,5.31,77,6.9,,0,6.9,'25/07/31,,'25/08/29
2406,國碩,12/30,26.4,+0.3,+1.15,2025,年,0,0,0,,0,,0,0,,,
2409,友達,12/30,12.05,+0.25,+2.12,2025,年,0.305,0,0.305,12,2.54,,0,2.54,'25/08/05,,'25/08/29
2426,鼎元,12/30,17.3,-1.25,-6.74,2025,年,0.1,0,0.1,17,0.59,,0,0.59,'25/05/27,,'25/06/17
2429,銘旺科,12/30,80.5,-2.9,-3.48,2025,年,0,0,0,,0,,0,0,,,
2438,翔耀,12/30,21.6,-0.05,-0.23,2025,年,0,0,0,,0,,0,0,,,
2466,冠西電,12/30,65.7,+0.8,+1.23,2025,年,0,0,0,,0,,0,0,,,
2486,一詮,12/30,93.9,-2.4,-2.49,2025,年,0.504,0,0.504,80.3,0.63,,0,0.63,'25/06/26,,'25/07/22
2489,瑞軒,12/30,15,+0.1,+0.67,2026,半年,0,0,0,,0,,0,0,,,
2491,吉祥全,12/30,20.25,+0.4,+2.02,2025,年,0,0,0,,0,,0,0,,,
3008,大立光,12/30,2470,-30,-1.2,2025,半年,85.5,0,85.5,2420,3.43,,0,3.43,'25/08/14,,'25/09/11
3019,亞光,12/30,140,-1.5,-1.06,2025,年,4,0,4,135,2.96,,0,2.96,'25/06/24,,'25/07/18
3024,憶聲,12/30,11.35,-0.1,-0.87,2025,年,0.4,0,0.4,13.35,3,,0,3,'25/07/16,,'25/08/08
3031,佰鴻,12/30,19.7,-0.35,-1.75,2025,年,1,0,1,18.3,5.46,,0,5.46,'25/07/17,,'25/08/15
3038,全台,12/30,23.35,-0.15,-0.64,2025,年,1.5,0,1.5,28.8,5.21,,0,5.21,'25/03/27,,'25/04/18
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
3049,精金,12/30,5.97,-0.66,-9.95,2026,半年,0,0,0,,0,,,0,,,
3050,鈺德,12/30,13.6,+0.2,+1.49,2025,年,0.5,0,0.5,14.3,3.5,,0,3.5,'25/08/14,,'25/09/12
3051,力特,12/30,18.25,-0.25,-1.35,2025,年,1.518,0,1.518,26.15,5.81,,0,5.81,'25/08/05,,'25/08/29
3059,華晶科,12/30,40.65,-0.55,-1.33,2025,年,1,0,1,54.2,1.85,,0,1.85,'25/09/04,,'25/10/03
3066,李洲,12/30,13.85,-0.1,-0.72,2025,年,0,0,0,,0,,0,0,,,
3128,昇銳,12/30,29.95,+0.2,+0.67,2025,年,0.195,0.974,1.169,41.4,0.47,41.4,2.35,2.82,'25/08/22,'25/08/22,'25/09/26
3149,正達,12/30,34.55,-0.55,-1.57,2025,半年,0,0,0,,0,,0,0,,,
3168,眾福科,12/30,41.3,-0.8,-1.9,2025,年,3.039,0,3.039,50.1,6.07,,0,6.07,'25/06/18,,'25/07/15
3230,錦明,12/30,38,-0.75,-1.94,2025,年,0.352,0,0.352,51.1,0.69,,0,0.69,'25/08/08,,'25/09/05
3297,杭特,12/30,42,-0.35,-0.83,2025,年,0,0,0,,0,,0,0,,,
