代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1342,八貫,12/30,89.1,-1.1,-1.22,2025,年,4.793,0,4.793,105,4.56,,0,4.56,'25/03/20,,'25/04/16
1416,廣豐,12/30,12,+0.1,+0.84,2025,年,0.56,0,0.56,12.75,4.39,,0,4.39,'25/06/10,,'25/06/27
1435,中福,12/30,21.7,0,0,2025,年,0,0,0,,0,,0,0,,,
1437,勤益控,12/30,34.55,+0.05,+0.14,2025,季,1.83,0,1.83,32.6,5.53,,0,5.53,'25/07/31,,'25/08/29
1443,立益物流,12/30,27.3,0,0,2025,年,0,0,0,,0,,0,0,,,
1516,川飛,12/30,23.9,-0.1,-0.42,2025,年,0,0,0,,0,,0,0,,,
1584,精剛,12/30,23.25,-0.1,-0.43,2025,年,0.7,0,0.7,25.8,2.71,,0,2.71,'25/06/12,,'25/07/02
2221,大甲,12/30,29,-0.65,-2.19,2025,年,1.3,0,1.3,28.25,4.6,,0,4.6,'25/07/16,,'25/08/08
2348,海悅,12/30,81.9,-0.4,-0.49,2025,年,9,0,9,103.5,8.7,,0,8.7,'25/07/15,,'25/08/11
2348A,海悅甲特,12/30,36.7,0,0,2025,年,1.6,0,1.6,36.8,4.35,,0,4.35,'25/07/15,,'25/08/11
2496,卓越,12/30,68.4,0,0,2025,半年,7.18,0,7.18,68,8.59,,0,8.59,'25/08/27,,'25/09/19
2514,龍邦,12/30,15.15,0,0,2025,年,0,0,0,,0,,0,0,,,
2614,東森,12/30,22.85,0,0,2025,年,0.25,0.9,1.15,17.4,1.44,17.4,5.17,6.61,'25/07/09,'25/07/09,'25/08/13
2724,藝舍-KY,12/30,21.2,+0.6,+2.91,2025,年,0,0,0,,0,,0,0,,,
2904,匯僑,12/30,17.05,-0.25,-1.45,2025,年,1,0,1,18.6,5.38,,0,5.38,'25/07/07,,'25/07/31
3040,遠見,12/30,56,+0.5,+0.9,2025,年,1,0,1,63.5,1.57,,0,1.57,'25/06/27,,'25/07/31
3284,太普高,12/30,21,-0.05,-0.24,2025,年,0.8,1.2,2,24.85,3.22,24.85,4.83,8.05,'25/08/21,'25/08/21,'25/09/26
3313,斐成,12/30,14.65,-0.35,-2.33,2025,年,0,0,0,,0,,0,0,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
