代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1785,光洋科,12/30,66,+0.5,+0.76,2025,年,2,0,2,54.4,3.68,,0,3.68,'25/07/21,,'25/08/15
2312,金寶,12/30,22.35,-0.15,-0.67,2025,年,0.6,0,0.6,20.25,2.96,,0,2.96,'25/07/01,,'25/07/31
2317,鴻海,12/30,228,-3,-1.3,2025,年,5.8,0,5.8,165.5,3.5,,0,3.5,'25/07/02,,'25/07/31
2354,鴻準,12/30,61.5,-0.7,-1.13,2025,年,1.4,0,1.4,65,2.15,,0,2.15,'25/07/02,,'25/07/31
2359,所羅門,12/30,126.5,-0.5,-0.39,2026,半年,0,0,0,,0,,,0,,,
2360,致茂,12/30,790,+9,+1.15,2025,年,9,0,9,362,2.49,,0,2.49,'25/06/20,,'25/07/18
2373,震旦行,12/30,56.1,-0.2,-0.36,2025,年,3.7,0,3.7,61,6.07,,0,6.07,'25/07/07,,'25/07/25
2390,云辰,12/30,9.84,-0.02,-0.2,2025,年,0,0,0,,0,,0,0,,,
2404,漢唐,12/30,908,-14,-1.52,2025,年,28,0,28,725,3.86,,0,3.86,'25/07/17,,'25/08/15
2423,固緯,12/30,58.3,-1.2,-2.02,2025,年,2,0,2,44.2,4.52,,0,4.52,'25/06/19,,'25/07/18
2433,互盛電,12/30,47.6,+0.15,+0.32,2025,年,3,0,3,51,5.88,,0,5.88,'25/07/03,,'25/07/23
2459,敦吉,12/30,65.7,+0.5,+0.77,2025,年,4,0,4,64.9,6.16,,0,6.16,'25/06/18,,'25/07/09
2461,光群雷,12/30,15,-0.05,-0.33,2026,季,0,0,0,,0,,,0,,,
2464,盟立,12/30,63.4,+0.1,+0.16,2025,年,0.35,0,0.35,58.1,0.6,,0,0.6,'25/07/03,,'25/07/31
2474,可成,12/30,207.5,+1.5,+0.73,2025,半年,11.49,0,11.49,197,5.45,,0,5.45,'25/12/23,,'26/01/21
2477,美隆電,12/30,23.95,-0.25,-1.03,2025,年,1.3,0,1.3,23.2,5.6,,0,5.6,'25/04/24,,'25/05/29
2482,連宇,12/30,17.55,-0.05,-0.28,2025,年,0.61,0,0.61,19.05,3.2,,0,3.2,'25/07/08,,'25/08/05
2488,漢平,12/30,45.8,-0.2,-0.43,2025,年,3.2,0,3.2,49.6,6.45,,0,6.45,'25/09/17,,'25/10/17
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
3018,隆銘綠能,12/30,11.5,-0.1,-0.86,2025,年,0,0,0,,0,,0,0,,,
3030,德律,12/30,192,-4,-2.04,2025,年,5,0,5,132,3.79,,0,3.79,'25/06/13,,'25/07/04
3043,科風,12/30,21.3,0,0,2025,年,0,0,0,,0,,0,0,,,
3067,全域,12/30,19.75,+0.25,+1.28,2025,年,0,0,0,,0,,0,0,,,
3093,港建*,12/30,25.45,+0.05,+0.2,2025,年,1.08,0,1.08,27.65,3.91,,0,3.91,'25/07/02,,'25/07/25
3131,弘塑,12/30,1545,+45,+3,2025,年,22,0,22,1510,1.46,,0,1.46,'25/07/29,,'25/08/25
3219,倚強科,12/30,69,+6.2,+9.87,2025,年,0.265,0,0.265,45.45,0.58,,0,0.58,'25/07/24,,'25/08/25
3285,微端,12/30,29,+1,+3.57,2025,年,1,0,1,25.15,3.98,,0,3.98,'25/07/24,,'25/08/15
3289,宜特,12/30,112.5,+1,+0.9,2026,季,2.4,0,2.4,112.5,2.13,,0,2.13,,,
3303,岱稜,12/30,44.8,-0.1,-0.22,2025,年,2.766,0,2.766,48.55,5.7,,0,5.7,'25/07/09,,'25/08/01
3305,昇貿,12/30,105.5,-3.5,-3.21,2025,年,2.251,0,2.251,58.5,3.85,,0,3.85,'25/07/14,,'25/08/13
3324,雙鴻,12/30,1030,+10,+0.98,2025,年,9.999,0,9.999,705,1.42,,0,1.42,'25/06/16,,'25/07/10
3373,熱映,12/30,17.85,-0.1,-0.56,2025,年,0,1,1,,0,20.3,4.93,4.93,,'25/08/21,
3402,漢科,12/30,122.5,+1,+0.82,2025,年,5,0,5,99.1,5.05,,0,5.05,'25/07/24,,'25/08/22
3465,進泰電子,12/30,48.6,+0.8,+1.67,2026,季,0,0,0,,0,,,0,,,
3498,陽程,12/30,50.8,-0.2,-0.39,2025,年,0,0,0,,0,,0,0,,,
3508,位速,12/30,24.2,-0.6,-2.42,2025,年,0,0,0,,0,,0,0,,,
