代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1708,東鹼,12/30,32.7,-0.3,-0.91,2025,年,2,0,2,36.7,5.45,,0,5.45,'25/05/28,,'25/06/26
1709,和益,12/30,16.7,-0.1,-0.6,2026,半年,0,0,0,,0,,,0,,,
1710,東聯,12/30,12.3,+0.15,+1.23,2025,年,0,0,0,,0,,0,0,,,
1711,永光,12/30,19.3,-0.25,-1.28,2025,年,0.3,0,0.3,16.7,1.8,,0,1.8,'25/06/19,,'25/07/18
1712,興農,12/30,44.05,-0.35,-0.79,2025,年,2.5,0,2.5,45.45,5.5,,0,5.5,'25/03/13,,'25/04/16
1713,國化,12/30,44.7,-0.4,-0.89,2025,年,7.5,0,7.5,55.1,13.6,,0,13.6,'25/08/07,,'25/08/29
1714,和桐,12/30,8.14,-0.06,-0.73,2025,年,0.205,0,0.205,8.06,2.54,,0,2.54,'25/08/21,,'25/09/19
1717,長興,12/30,41,0,0,2025,年,1.2,0,1.2,26.6,4.51,,0,4.51,'25/04/24,,'25/05/23
1718,中纖,12/30,6.86,+0.01,+0.15,2025,年,0,0,0,,0,,0,0,,,
1721,三晃,12/30,16.8,+1.5,+9.8,2025,年,0,0,0,,0,,0,0,,,
1722,台肥,12/30,47.2,+0.1,+0.21,2025,年,2,0,2,53.2,3.76,,0,3.76,'25/09/02,,'25/09/26
1723,中碳,12/30,68.5,+0.7,+1.03,2025,年,4.5,0,4.5,91.2,4.93,,0,4.93,'25/07/10,,'25/08/08
1725,元禎,12/30,26.8,-0.2,-0.74,2025,年,1.25,0,1.25,30.25,4.13,,0,4.13,'25/07/01,,'25/07/25
1726,永記,12/30,76.3,+0.4,+0.53,2025,年,3.6,0,3.6,78.5,4.59,,0,4.59,'25/07/16,,'25/08/18
1727,中華化,12/30,43.3,+0.3,+0.7,2025,年,0.5,0,0.5,32.7,1.53,,0,1.53,'25/08/05,,'25/08/29
1730,花仙子,12/30,52.9,0,0,2026,半年,0,0,0,,0,,,0,,,
1732,毛寶,12/30,28.1,-0.1,-0.35,2025,年,0.5,0,0.5,29.25,1.71,,0,1.71,'25/08/29,,'25/09/30
1735,日勝化,12/30,18.7,0,0,2025,年,0.8,0,0.8,17,4.71,,0,4.71,'25/06/19,,'25/07/09
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1742,台蠟,12/30,13.6,0,0,2025,年,0,0,0,,0,,0,0,,,
1773,勝一,12/30,138.5,-0.5,-0.36,2025,年,2.5,2,4.5,151,1.66,151,1.32,2.98,'25/06/13,'25/06/13,'25/07/18
1776,展宇,12/30,15.55,0,0,2025,年,0.8,0,0.8,17.85,4.48,,0,4.48,'25/06/13,,'25/07/03
3430,奇鈦科,12/30,60,-0.7,-1.15,2025,年,2.5,0,2.5,50.6,4.94,,0,4.94,'25/07/09,,'25/07/30
4706,大恭,12/30,29.5,+0.4,+1.37,2025,年,0.7,0,0.7,27.9,2.51,,0,2.51,'25/07/02,,'25/07/29
4707,磐亞,12/30,10.35,0,0,2025,年,0.25,0,0.25,10.05,2.49,,0,2.49,'25/09/02,,'25/09/26
4711,永純,12/30,15.1,-0.1,-0.66,2025,年,0.5,0,0.5,15.05,3.32,,0,3.32,'25/07/15,,'25/08/07
4714,永捷,12/30,17.05,-0.1,-0.58,2026,半年,0,0,0,,0,,0,0,,,
4716,大立,12/30,16.7,-0.1,-0.6,2025,年,0.2,0.55,0.75,15.15,1.32,15.15,3.63,4.95,'25/09/18,'25/09/18,'25/10/23
4720,德淵,12/30,15.15,-0.05,-0.33,2025,年,1,0,1,16.05,6.23,,0,6.23,'25/07/09,,'25/08/08
4721,美琪瑪,12/30,69.5,+0.1,+0.14,2025,年,2.36,0,2.36,70.5,3.35,,0,3.35,'25/07/16,,'25/08/08
4722,國精化,12/30,183,-3,-1.61,2025,年,1.396,0,1.396,69.2,2.02,,0,2.02,'25/06/10,,'25/07/11
4739,康普,12/30,65.9,-1,-1.49,2025,年,0.95,0,0.95,45.15,2.1,,0,2.1,'25/06/25,,'25/07/21
4741,泓瀚,12/30,21,+0.05,+0.24,2025,年,1.2,0.6,1.8,26.65,4.5,26.65,2.25,6.75,'25/08/26,'25/08/26,'25/09/30
4754,國碳科,12/30,38.65,+0.2,+0.52,2025,年,2,0,2,41.45,4.83,,0,4.83,'25/07/15,,'25/08/11
4755,三福化,12/30,109,0,0,2026,季,0,0,0,,0,,,0,,,
