代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2302,麗正,12/30,17.55,-0.15,-0.85,2025,年,0.58,0,0.58,16.45,3.53,,0,3.53,'25/06/17,,'25/07/11
2303,聯電,12/30,49.5,-0.15,-0.3,2025,年,2.85,0,2.85,47,6.06,,0,6.06,'25/06/24,,'25/07/16
2329,華泰,12/30,55.2,-0.8,-1.43,2025,年,1,0,1,41.95,2.38,,0,2.38,'25/06/26,,'25/07/23
2330,台積電,12/30,1520,-10,-0.65,2026,季,6,0,6,1520,0.39,,0,0.39,,,
2337,旺宏,12/30,38.75,+0.6,+1.57,2025,年,0,0,0,,0,,0,0,,,
2338,光罩,12/30,36.05,-0.1,-0.28,2025,年,0,0,0,,0,,0,0,,,
2340,台亞,12/30,26.45,+0.05,+0.19,2025,年,0,0,0,,0,,0,0,,,
2342,茂矽,12/30,28.9,-0.05,-0.17,2026,半年,0,0,0,,0,,,0,,,
2344,華邦電,12/30,83.7,+6.8,+8.84,2026,半年,0,0,0,,0,,,0,,,
2351,順德,12/30,77.3,-1.7,-2.15,2025,年,2.5,0,2.5,78.8,3.17,,0,3.17,'25/07/31,,'25/08/29
2363,矽統,12/30,46.75,-0.4,-0.85,2025,年,0.5,0,0.5,55.6,0.9,,0,0.9,'25/07/30,,'25/08/27
2369,菱生,12/30,22.95,+0.3,+1.32,2025,年,0.3,0,0.3,14.85,2.02,,0,2.02,'25/08/04,,'25/08/29
2379,瑞昱,12/30,481,-3,-0.62,2025,年,25.5,0,25.5,540,4.72,,0,4.72,'25/09/10,,'25/10/09
2388,威盛,12/30,53,-0.1,-0.19,2025,年,0.2,0,0.2,62.8,0.32,,0,0.32,'25/06/20,,'25/07/18
2401,凌陽,12/30,20.2,+0.05,+0.25,2025,年,0,0,0,,0,,0,0,,,
2408,南亞科,12/30,194.5,+6,+3.18,2025,年,0,0,0,,0,,0,0,,,
2434,統懋,12/30,30.7,0,0,2025,年,0,0,0,,0,,0,0,,,
2436,偉詮電,12/30,48.8,+0.8,+1.67,2025,年,1.5,0,1.5,50.4,2.98,,0,2.98,'25/06/26,,'25/07/25
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2441,超豐,12/30,88.5,+0.1,+0.11,2025,年,3,0,3,60.5,4.96,,0,4.96,'25/08/28,,'25/09/24
2449,京元電子,12/30,243.5,-1.5,-0.61,2025,年,4,0,4,106,3.77,,0,3.77,'25/07/10,,'25/08/08
2451,創見,12/30,196,+12.5,+6.81,2025,年,6.088,0,6.088,111,5.48,,0,5.48,'25/07/08,,'25/08/01
2454,聯發科,12/30,1420,0,0,2026,半年,29,0,29,1420,2.04,,0,2.04,'26/01/06,,'26/01/30
2458,義隆,12/30,119.5,-2,-1.65,2025,半年,6.408,0,6.408,131,4.42,,0,4.42,'25/09/25,,'25/10/22
2481,強茂,12/30,80.3,-0.9,-1.11,2025,年,1.4,0,1.4,47,2.98,,0,2.98,'25/07/10,,'25/08/08
3006,晶豪科,12/30,107.5,+9.4,+9.58,2025,年,1,0,1,50.3,1.99,,0,1.99,'25/07/09,,'25/08/07
3014,聯陽,12/30,114,-1,-0.87,2025,年,9,0,9,137,6.57,,0,6.57,'25/07/08,,'25/08/07
3016,嘉晶,12/30,51.8,+0.2,+0.39,2025,年,0.5,0,0.5,31.5,1.59,,0,1.59,'25/07/09,,'25/08/04
3034,聯詠,12/30,374.5,-2,-0.53,2025,年,28,0,28,534,5.24,,0,5.24,'25/07/09,,'25/08/08
3035,智原,12/30,168.5,+4,+2.43,2025,年,3,0,3,179.5,1.67,,0,1.67,'25/06/17,,'25/07/18
3041,揚智,12/30,24.25,-0.25,-1.02,2025,季,0,0,0,,0,,0,0,,,
3094,聯傑,12/30,24.2,-0.15,-0.62,2025,年,0.17,0,0.17,25.9,0.66,,0,0.66,'25/06/19,,'25/07/14
