代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1301,台塑,12/30,39.1,-0.4,-1.01,2025,年,0.5,0,0.5,35.7,1.4,,0,1.4,'25/07/15,,'25/08/15
1303,南亞,12/30,58.3,-0.4,-0.68,2025,年,0.7,0,0.7,29.8,2.35,,0,2.35,'25/07/22,,'25/08/20
1304,台聚,12/30,11.25,+0.15,+1.35,2025,年,0.2,0,0.2,10.8,1.85,,0,1.85,'25/07/24,,'25/08/21
1305,華夏,12/30,11.15,+0.05,+0.45,2025,年,0.15,0,0.15,11.6,1.29,,0,1.29,'25/07/24,,'25/08/21
1307,三芳,12/30,32.4,-0.4,-1.22,2025,年,2.7,0,2.7,36.45,7.41,,0,7.41,'25/07/10,,'25/08/06
1308,亞聚,12/30,13.4,+0.05,+0.37,2025,年,0.25,0,0.25,12.45,2.01,,0,2.01,'25/07/24,,'25/08/21
1309,台達化,12/30,11.3,+0.05,+0.44,2025,年,0.2,0,0.2,11.65,1.72,,0,1.72,'25/07/24,,'25/08/21
1310,台苯,12/30,9.02,+0.58,+6.87,2025,年,0,0,0,,0,,0,0,,,
1312,國喬,12/30,11.8,+0.55,+4.89,2025,年,0,0,0,,0,,0,0,,,
1312A,國喬特,12/30,22.5,+0.15,+0.67,2025,年,0,0,0,,0,,0,0,,,
1313,聯成,12/30,10.15,0,0,2025,年,0.15,0,0.15,7.78,1.93,,0,1.93,'25/06/26,,'25/07/23
1314,中石化,12/30,7.86,-0.02,-0.25,2025,年,0,0,0,,0,,0,0,,,
1315,達新,12/30,64.3,+0.4,+0.63,2025,半年,4.5,0,4.5,66.5,6.81,,0,6.81,'25/09/01,,'25/09/26
1321,大洋,12/30,34.8,-0.25,-0.71,2025,年,0.38,0,0.38,37.9,1,,0,1,'25/08/22,,'25/09/15
1323,永裕,12/30,19.5,0,0,2025,年,0.9,0,0.9,21.2,4.25,,0,4.25,'25/06/05,,'25/06/26
1324,地球,12/30,10.4,-0.05,-0.48,2025,年,0.2,0,0.2,10.9,1.83,,0,1.83,'25/08/28,,'25/09/24
1325,恆大,12/30,30.1,-0.2,-0.66,2025,年,0.3,0,0.3,29.85,1.01,,0,1.01,'25/07/08,,'25/08/04
1326,台化,12/30,32.3,+0.25,+0.78,2025,年,0.5,0,0.5,22.9,2.18,,0,2.18,'25/07/01,,'25/07/30
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1337,再生-KY,12/30,4.8,-0.02,-0.41,2025,年,0,0,0,,0,,0,0,,,
1340,勝悅-KY,12/30,7.83,+0.03,+0.38,2025,年,0,0,0,,0,,0,0,,,
1341,富林-KY,12/30,58.9,+0.3,+0.51,2025,季,5.2,0,5.2,74.7,6.96,,0,6.96,'25/03/27,,'25/05/06
4303,信立,12/30,60.8,-0.9,-1.46,2025,年,1,2,3,83.1,1.2,83.1,2.41,3.61,'25/08/29,'25/08/29,'25/10/02
4304,勝昱,12/30,32.85,-2.45,-6.94,2025,年,0,0,0,,0,,0,0,,,
4305,世坤,12/30,41.7,-0.15,-0.36,2025,年,3.2,0,3.2,48.75,6.56,,0,6.56,'25/07/30,,'25/08/26
4306,炎洲,12/30,14.3,+0.1,+0.7,2025,年,1,0.2,1.2,15.8,6.33,15.8,1.27,7.59,'25/09/01,'25/09/01,'25/09/26
9950,萬國通,12/30,10.4,+0.15,+1.46,2025,年,0,0,0,,0,,0,0,,,
