代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2062,橋椿,12/30,20.6,-0.4,-1.9,2025,年,1.8,0,1.8,25.65,7.02,,0,7.02,'25/08/28,,'25/09/26
2916,滿心,12/30,49,0,0,2025,年,3.6,0,3.6,49.5,7.27,,0,7.27,'25/06/27,,'25/07/18
2924,宏太-KY,12/30,21.5,-1,-4.44,2025,年,0,0,0,,0,,0,0,,,
2937,集雅社,12/30,43.05,-1,-2.27,2025,年,2,1,3,46.5,4.3,46,2.17,6.47,'25/04/17,'25/07/24,'25/05/20
2941,米斯特,12/30,45.65,0,0,2025,年,3.2,0,3.2,56.8,5.63,,0,5.63,'25/06/26,,'25/07/24
2947,振宇五金,12/30,81,-1.9,-2.29,2025,半年,2.1,1,3.1,86.5,2.4,98.1,1.02,3.42,'25/10/31,'25/07/04,'25/11/28
2948,寶陞,12/30,38.5,+0.15,+0.39,2025,年,1.82,0.333,2.153,43.1,4.22,43.1,0.77,5,'25/08/08,'25/08/08,'25/08/29
3171,炎洲流通,12/30,46.9,-0.2,-0.42,2025,年,3,0,3,42.8,7.01,,0,7.01,'25/07/10,,'25/08/01
3557,嘉威,12/30,36.6,+0.8,+2.23,2025,年,2.5,0.5,3,50.9,4.91,50.9,0.98,5.89,'25/06/26,'25/06/26,'25/07/31
4609,唐鋒,12/30,6.23,+0.18,+2.98,2025,年,0,0,0,,0,,0,0,,,
4702,中美實,12/30,9.95,-0.05,-0.5,2025,年,0,0,0,,0,,0,0,,,
5902,德記,12/30,44.55,-0.2,-0.45,2025,年,1.65,0,1.65,46.75,3.53,,0,3.53,'25/06/17,,'25/07/11
5903,全家,12/30,192,+1,+0.52,2025,年,11.5,0,11.5,211,5.45,,0,5.45,'25/08/06,,'25/09/08
5904,寶雅,12/30,437,-2.5,-0.57,2025,年,23,0.1,23.1,509,4.52,509,0.02,4.54,'25/07/15,'25/07/15,'25/08/15
6195,詩肯,12/30,25.5,-0.05,-0.2,2025,年,1.5,0,1.5,29.6,5.07,,0,5.07,'25/06/26,,'25/07/18
6616,特昇-KY,12/30,9.72,-0.01,-0.1,2026,半年,0,0,0,,0,,0,0,,,
6629,泰金-KY,12/30,128,+1,+0.79,2026,半年,1.997,0,1.997,128,1.56,,0,1.56,'26/01/08,,'26/02/11
6671,三能-KY,12/30,35.9,0,0,2025,年,2.6,0,2.6,42.6,6.1,,0,6.1,'25/07/18,,'25/08/15
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
6728,上洋,12/30,132.5,-2,-1.49,2025,年,8,0,8,161,4.97,,0,4.97,'25/07/30,,'25/08/29
6754,匯僑設計,12/30,48.1,-0.1,-0.21,2025,年,4,0,4,63,6.35,,0,6.35,'25/07/01,,'25/07/25
6807,峰源-KY,12/30,45.8,+0.55,+1.22,2025,年,4.5,0,4.5,72.9,6.17,,0,6.17,'25/07/02,,'25/07/31
6968,萬達寵物,12/30,58.5,0,0,2025,年,1,0.2,1.2,68.7,1.46,68.7,0.29,1.75,'25/07/21,'25/07/21,'25/08/25
7782,光速火箭,12/30,29.5,-0.05,-0.17,2025,年,3.018,0,3.018,49,6.16,,0,6.16,'25/08/05,,'25/08/29
8066,來思達,12/30,19.8,-0.2,-1,2025,年,0,0,0,,0,,0,0,,,
8433,弘帆,12/30,51.7,+0.7,+1.37,2025,年,6.465,0,6.465,84.6,7.64,,0,7.64,'25/04/25,,'25/05/27
8464,億豐,12/30,361,-4,-1.1,2025,年,14.5,0,14.5,394,3.68,,0,3.68,'25/04/01,,'25/04/30
8482,商億-KY,12/30,49.35,-0.6,-1.2,2025,年,4.36,0,4.36,63,6.92,,0,6.92,'25/07/02,,'25/07/25
8941,關中,12/30,43,0,0,2026,半年,0,0,0,,0,,,0,,,
9911,櫻花,12/30,83.2,-0.5,-0.6,2025,年,4.7,0,4.7,88.5,5.31,,0,5.31,'25/04/17,,'25/05/21
9924,福興,12/30,52.3,-0.2,-0.38,2025,年,3.1,0,3.1,49.45,6.27,,0,6.27,'25/06/11,,'25/07/03
9934,成霖,12/30,10.1,+0.05,+0.5,2025,年,0.35,0,0.35,9.95,3.52,,0,3.52,'25/06/23,,'25/07/18
9935,慶豐富,12/30,20.25,-0.1,-0.49,2025,年,1.8,0,1.8,23.75,7.58,,0,7.58,'25/07/02,,'25/07/24
