代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1316,上曜,12/30,15.35,+0.15,+0.99,2026,半年,0,0,0,,0,,,0,,,
1436,華友聯,12/30,65.3,-0.5,-0.76,2025,年,9.796,3.014,12.81,116,8.45,116,2.6,11,'25/07/21,'25/07/21,'25/08/25
1438,三地開發,12/30,33.7,0,0,2025,年,0,0,0,,0,,0,0,,,
1439,雋揚,12/30,29.35,-0.55,-1.84,2025,年,0.3,0,0.3,29.85,1.01,,0,1.01,'25/08/04,,'25/09/09
1442,名軒,12/30,30.35,-0.25,-0.82,2025,年,4.5,0,4.5,64.7,6.96,,0,6.96,'25/08/21,,'25/09/19
1453,大將,12/30,12.7,-0.05,-0.39,2025,年,0,0.3,0.3,,0,13,2.31,2.31,,'25/08/28,
1456,怡華,12/30,13.15,+0.1,+0.77,2025,年,0,0,0,,0,,0,0,,,
1472,三洋實業,12/30,87.8,-0.5,-0.57,2025,年,3,0,3,96.5,3.11,,0,3.11,'25/07/09,,'25/07/30
1805,寶徠,12/30,12.15,-0.35,-2.8,2025,年,0,0,0,,0,,0,0,,,
1808,潤隆,12/30,34.5,-0.7,-1.99,2025,年,2,0,2,30.85,6.48,,0,6.48,'25/09/25,,'25/10/31
2442,新美齊,12/30,25.65,-0.75,-2.84,2025,年,0.079,0.158,0.237,26.8,0.3,26.8,0.59,0.89,'25/09/09,'25/09/09,'25/10/09
2501,國建,12/30,23.55,-0.1,-0.42,2025,年,1,0,1,19.35,5.17,,0,5.17,'25/07/10,,'25/08/08
2504,國產,12/30,37.3,0,0,2025,年,2.8,0,2.8,43.85,6.39,,0,6.39,'25/06/24,,'25/07/18
2505,國揚,12/30,19.95,+0.05,+0.25,2025,年,0,0,0,,0,,0,0,,,
2506,太設,12/30,9.36,-0.02,-0.21,2025,半年,0.4,0,0.4,10.4,3.85,,0,3.85,'25/06/19,,'25/07/10
2509,全坤建,12/30,16.1,-0.05,-0.31,2025,年,0,0,0,,0,,0,0,,,
2511,太子,12/30,8.25,+0.04,+0.49,2025,年,0.3,0,0.3,9.61,3.12,,0,3.12,'25/07/24,,'25/08/22
2515,中工,12/30,13.05,-0.2,-1.51,2025,年,0,0.503,0.503,,0,17,2.96,2.96,,'25/11/10,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2516,新建,12/30,14.9,-0.05,-0.33,2025,年,0,0,0,,0,,0,0,,,
2520,冠德,12/30,34.6,-0.2,-0.57,2025,年,3.1,1,4.1,50.7,6.11,50.7,1.97,8.09,'25/08/05,'25/08/05,'25/09/01
2524,京城,12/30,42.8,-0.8,-1.83,2025,年,0,0,0,,0,,0,0,,,
2527,宏璟,12/30,29.1,+0.1,+0.34,2025,年,2,0,2,27.6,7.25,,0,7.25,'25/08/25,,'25/09/17
2528,皇普,12/30,30.6,+0.4,+1.32,2026,半年,0,0,0,,,,0,0,,,
2530,華建,12/30,27.9,-0.4,-1.41,2025,季,2.268,0,2.268,28.55,7.22,,0,7.22,'25/12/09,,'26/01/07
2534,宏盛,12/30,20.8,+0.1,+0.48,2025,年,1,0,1,25.05,3.99,,0,3.99,'25/07/03,,'25/08/01
2535,達欣工,12/30,63.2,+0.5,+0.8,2025,年,3.75,0,3.75,58.6,6.4,,0,6.4,'25/04/01,,'25/05/07
2536,宏普,12/30,25.95,-0.3,-1.14,2025,年,0.5,0,0.5,29.1,1.72,,0,1.72,'25/07/16,,'25/08/12
2537,聯上發,12/30,12.1,+0.15,+1.26,2025,年,0,0,0,,0,,0,0,,,
2538,基泰,12/30,11.45,-0.1,-0.87,2025,年,0.7,0,0.7,13.55,5.17,,0,5.17,'25/07/31,,'25/09/01
2539,櫻花建,12/30,48.95,-0.4,-0.81,2025,年,0.5,2,2.5,60.5,0.83,60.5,3.31,4.13,'25/08/28,'25/08/28,'25/10/02
2540,愛山林,12/30,51,-0.8,-1.54,2025,年,1,4,5,79.5,1.26,79.5,5.03,6.29,'25/09/30,'25/09/30,'25/10/31
2542,興富發,12/30,40.2,0,0,2025,年,2,0.5,2.5,44.75,4.47,44.75,1.12,5.59,'25/09/25,'25/09/25,'25/10/31
2543,皇昌,12/30,60.9,-1.5,-2.4,2025,半年,0.8,1.7,2.5,71.7,1.05,85.2,2,3.04,'25/10/23,'25/09/02,'25/11/20
2545,皇翔,12/30,39.1,-0.45,-1.14,2025,年,4.5,0,4.5,51.7,8.7,,0,8.7,'25/06/17,,'25/07/11
2546,根基,12/30,88.7,+0.6,+0.68,2025,年,3.2,0.6,3.8,84.5,3.79,84.5,0.71,4.5,'25/08/05,'25/08/05,'25/09/01
2547,日勝生,12/30,11.05,0,0,2025,年,0.58,0,0.58,12.3,4.71,,0,4.71,'25/07/15,,'25/08/08
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2548,華固,12/30,118.5,+0.5,+0.42,2025,年,5.5,0.5,6,108.5,5.07,108.5,0.46,5.53,'25/07/25,'25/07/25,'25/08/20
2596,綠意,12/30,38.8,-0.7,-1.77,2025,年,1,0,1,31.05,3.22,,0,3.22,'25/07/30,,'25/08/28
2597,潤弘,12/30,168,-0.5,-0.3,2025,年,7.7,2,9.7,183.5,4.2,186,1.08,5.27,'25/06/11,'25/08/01,'25/06/30
2718,全心投控,12/30,51.8,-0.5,-0.96,2026,季,0,0,0,,0,,,0,,,
2923,鼎固-KY,12/30,20.2,-0.1,-0.49,2025,年,0.24,0,0.24,22.6,1.06,,0,1.06,'25/09/08,,'25/09/30
3052,夆典,12/30,12.05,0,0,2025,年,0.5,0,0.5,12.25,4.08,,0,4.08,'25/08/29,,'25/09/24
3056,富華新,12/30,18.15,-0.05,-0.27,2025,年,2,3.5,5.5,33.25,6.02,33.25,10.5,16.5,'25/08/07,'25/08/07,'25/09/12
3188,鑫龍騰,12/30,30.55,+0.4,+1.33,2025,年,1.8,0,1.8,32.8,5.49,,0,5.49,'25/03/27,,'25/04/30
3266,昇陽,12/30,14.15,-0.05,-0.35,2025,年,0.75,0,0.75,15.45,4.85,,0,4.85,'25/07/23,,'25/08/22
3489,森寶,12/30,22.9,+0.05,+0.22,2025,年,0.5,0,0.5,21,2.38,,0,2.38,'25/07/17,,'25/08/13
3512,皇龍,12/30,21.9,0,0,2025,年,1.2,0,1.2,25.15,4.77,,0,4.77,'25/07/07,,'25/08/04
3521,鴻翊,12/30,14.5,+1.3,+9.85,2025,年,0,0,0,,0,,0,0,,,
3703,欣陸,12/30,22.45,-0.2,-0.88,2025,年,1.05,0,1.05,23.6,4.45,,0,4.45,'25/07/18,,'25/08/15
4113,聯上,12/30,25,+0.35,+1.42,2025,年,0.85,0,0.85,21.55,3.94,,0,3.94,'25/08/28,,'25/09/26
4416,三圓,12/30,30.05,-0.3,-0.99,2025,年,1,0,1,59.2,1.69,,0,1.69,'25/09/03,,'25/10/08
4907,富宇,12/30,49.25,+0.75,+1.55,2025,年,1.8,0,1.8,40.7,4.42,,0,4.42,'25/08/19,,'25/09/18
5206,坤悅,12/30,33.15,-0.05,-0.15,2025,年,0.5,1,1.5,37.1,1.35,37.1,2.7,4.04,'25/08/07,'25/08/07,'25/09/05
5213,亞昕,12/30,24.1,-0.15,-0.62,2025,年,1.27,0.238,1.508,30.8,4.12,26.05,0.91,5.04,'25/06/23,'25/09/24,'25/07/14
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
5324,士開,12/30,10.25,-0.15,-1.44,2025,年,0,0,0,,0,,0,0,,,
5455,昇益,12/30,29.3,0,0,2025,年,0,0,0,,0,,0,0,,,
5508,永信建,12/30,66.9,-0.8,-1.18,2025,年,14.5,0,14.5,126.5,11.5,,0,11.5,'25/07/16,,'25/08/06
5511,德昌,12/30,65.5,-0.2,-0.3,2025,年,3.8,0,3.8,61.7,6.16,,0,6.16,'25/07/08,,'25/07/29
5512,力麒,12/30,7.93,-0.04,-0.5,2025,年,0.18,0,0.18,8.87,2.03,,0,2.03,'25/09/19,,'25/10/17
5514,三豐,12/30,16.6,-0.3,-1.78,2025,年,0,0.4,0.4,,0,18.5,2.16,2.16,,'25/07/17,
5515,建國,12/30,35.45,+0.35,+1,2025,年,2.15,0,2.15,27.3,7.88,,0,7.88,'25/07/03,,'25/07/31
5516,雙喜,12/30,13.6,0,0,2025,年,0,0,0,,0,,0,0,,,
