代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2640,大車隊,12/30,131,-0.5,-0.38,2025,年,7,0,7,136,5.15,,0,5.15,'25/07/21,,'25/08/08
2949,欣新網,12/30,68.1,-0.8,-1.16,2025,年,1,2.1,3.1,84.5,1.18,82.3,2.55,3.74,'25/06/26,'25/09/02,'25/07/25
3085,新零售,12/30,13.7,-0.15,-1.08,2025,年,0,0,0,,0,,0,0,,,
3130,一零四,12/30,226,0,0,2025,年,14.14,0,14.14,234,6.04,,0,6.04,'25/07/10,,'25/08/08
3687,歐買尬,12/30,80,-1.3,-1.6,2025,年,1.563,0,1.563,78.8,1.98,,0,1.98,'25/07/17,,'25/08/14
5278,尚凡*,12/30,30,-0.05,-0.17,2026,季,0.167,0,0.167,30,0.56,,0,0.56,,,
5287,數字,12/30,170.5,+1,+0.59,2025,半年,10.3,0,10.3,182,5.68,,0,5.68,'25/08/28,,'25/09/24
5321,美而快,12/30,36.3,-0.7,-1.89,2025,年,0,0,0,,0,,0,0,,,
6165,浪凡,12/30,47.05,-0.65,-1.36,2025,年,0.591,0,0.591,52.6,1.12,,0,1.12,'25/07/25,,'25/08/19
6614,資拓宏宇,12/30,49.1,-0.4,-0.81,2025,年,1.5,0,1.5,55,2.73,,0,2.73,'25/07/16,,'25/08/15
6689,伊雲谷,12/30,61.4,-1.2,-1.92,2025,年,2,0,2,81.1,2.47,,0,2.47,'25/07/30,,'25/08/21
6690,安碁資訊,12/30,168,0,0,2025,年,6,0,6,179,3.35,,0,3.35,'25/07/03,,'25/07/29
6741,91APP*-KY,12/30,71.8,-1,-1.37,2025,年,1.743,0,1.743,80.2,2.17,,0,2.17,'25/06/10,,'25/07/11
6763,綠界科技*,12/30,56.8,-0.1,-0.18,2026,半年,0.95,0,0.95,56.8,1.67,,0,1.67,'26/01/12,,'26/02/06
6811,宏碁資訊,12/30,208,-2.5,-1.19,2025,年,9.5,0,9.5,246,3.86,,0,3.86,'25/07/03,,'25/07/29
6865,偉康科技,12/30,48.55,0,0,2025,年,1,0.7,1.7,78.1,1.28,63.9,1.1,2.38,'25/03/27,'25/07/10,'25/04/23
6870,騰雲,12/30,241,-10.5,-4.17,2025,年,4.3,0.2,4.5,233,1.85,208,0.1,1.94,'25/07/02,'25/09/04,'25/07/21
6902,GOGOLOOK,12/30,77.2,+0.4,+0.52,2025,年,0,0,0,,0,,0,0,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
6906,現觀科,12/30,82.7,-1.3,-1.55,2025,年,3.329,0,3.329,131,2.54,,0,2.54,'25/07/15,,'25/08/04
6910,德鴻,12/30,34.7,0,0,2025,年,1.5,0,1.5,33.5,4.48,,0,4.48,'25/05/22,,'25/06/19
6925,意藍,12/30,89.4,-1.4,-1.54,2025,年,2,0,2,63.5,3.15,,0,3.15,'25/04/17,,'25/05/07
6997,博弘,12/30,91.9,+1.6,+1.77,2025,年,5,0,5,106.5,4.69,,0,4.69,'25/08/06,,'25/09/04
7547,碩網,12/30,57.5,-2,-3.36,2025,年,1.35,0,1.35,98.5,1.37,,0,1.37,'25/07/03,,'25/08/15
7714,創泓科技,12/30,159,-5.5,-3.34,2025,半年,4.5,0,4.5,116,4.49,,0,4.49,'25/08/25,,'25/09/19
7721,微程式,12/30,50.1,+0.4,+0.8,2025,年,2,0,2,64.6,3.1,,0,3.1,'25/06/04,,'25/06/30
7722,LINEPAY,12/30,568,0,0,2025,年,1.5,0,1.5,600,0.25,,0,0.25,'25/09/04,,'25/09/25
7738,東聯互動,12/30,184.5,-4.5,-2.38,2024,半年,2,0,2,154,1.3,,0,1.3,'24/09/03,,'24/09/24
7747,昕奇雲端,12/30,116.5,+0.5,+0.43,2025,年,3.446,0,3.446,137.5,2.51,,0,2.51,'25/07/24,,'25/08/22
7765,中華資安,12/30,282.5,+10,+3.67,2025,年,9.225,0,9.225,340.5,2.71,,0,2.71,'25/07/18,,'25/08/15
7805,威聯通,12/30,750,+1,+0.13,2025,年,40,0,40,730,5.48,,0,5.48,'25/07/28,,'25/08/26
8044,網家,12/30,30.45,+0.65,+2.18,2025,年,0,0,0,,0,,0,0,,,
8454,富邦媒,12/30,210,+1,+0.48,2025,年,12.8,0.5,13.3,299,4.28,272,0.18,4.46,'25/06/12,'25/08/21,'25/07/11
8472,夠麻吉,12/30,70,+2,+2.94,2025,年,0,0,0,,0,,0,0,,,
8477,創業家,12/30,12.4,+0.2,+1.64,2025,年,0,0,0,,0,,0,0,,,
8487,愛爾達-創,12/30,77.9,+0.6,+0.78,2025,年,5.2,0,5.2,81.9,6.35,,0,6.35,'25/06/03,,'25/06/30
