代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2926,誠品生活,12/30,38.95,-0.5,-1.27,2025,年,0.2,0,0.2,46,0.43,,0,0.43,'25/06/17,,'25/07/17
3064,泰偉,12/30,50,0,0,2025,年,0,0,0,,0,,0,0,,,
3083,網龍,12/30,34.7,-0.4,-1.14,2025,年,0,0,0,,0,,0,0,,,
3086,華義,12/30,217,-3.5,-1.59,2025,年,0.15,0.5,0.65,161,0.09,161,0.31,0.4,'25/08/28,'25/08/28,'25/10/03
3293,鈊象,12/30,722,-5,-0.69,2026,半年,0,0,0,,0,,0,0,,,
3546,宇峻,12/30,77.5,-0.8,-1.02,2025,年,4.1,1,5.1,105.5,3.89,105.5,0.95,4.83,'25/07/24,'25/07/24,'25/08/28
3629,地心引力,12/30,23.75,-2.25,-8.65,2025,季,0,0,0,,0,,0,0,,,
4806,桂田文創,12/30,10.1,-0.1,-0.98,2025,年,0,0,0,,0,,0,0,,,
4946,辣椒,12/30,105,-5,-4.55,2025,年,0,0,0,,0,,0,0,,,
5263,智崴,12/30,94.3,+1.6,+1.73,2025,年,0.94,0,0.94,92.9,1.01,,0,1.01,'25/08/06,,'25/09/02
5478,智冠,12/30,98.2,-0.2,-0.2,2025,季,7.5,0,7.5,128.5,5.84,,0,5.84,'25/03/24,,'25/04/18
6101,寬魚國際,12/30,36.2,-0.35,-0.96,2025,年,0,0,0,,0,,0,0,,,
6111,大宇資,12/30,49.05,-0.05,-0.1,2025,年,0,0,0,,0,,0,0,,,
6144,得利影,12/30,19.35,-0.1,-0.51,2025,年,0,0,0,,0,,0,0,,,
6169,昱泉,12/30,19.25,-0.3,-1.53,2025,年,0,0,0,,0,,0,0,,,
6180,橘子,12/30,52.6,+0.3,+0.57,2025,年,6,0,6,73.2,8.2,,0,8.2,'25/07/17,,'25/08/08
6294,智基,12/30,47,-1,-2.08,2025,年,3.2,0.6,3.8,53.5,5.98,53.5,1.12,7.1,'25/07/31,'25/07/31,'25/09/04
6482,弘煜科,12/30,38.6,-0.45,-1.15,2025,年,1,2,3,61.7,1.62,61.7,3.24,4.86,'25/09/02,'25/09/02,'25/10/03
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
6542,隆中,12/30,49.6,+0.5,+1.02,2025,年,1.83,0,1.83,55.8,3.28,,0,3.28,'25/07/02,,'25/07/25
6596,寬宏藝術,12/30,139.5,+2,+1.45,2025,年,7,0,7,95.1,7.36,,0,7.36,'25/04/01,,'25/04/30
6856,鑫傳,12/30,57.9,0,0,2025,年,3.4,0,3.4,56.1,6.06,,0,6.06,'25/07/01,,'25/07/28
7584,樂意,12/30,41.2,-0.2,-0.48,2025,年,4,0,4,69.1,5.79,,0,5.79,'25/07/11,,'25/08/08
8446,華研,12/30,96.7,-0.1,-0.1,2025,半年,8,0,8,109,7.34,,0,7.34,'25/04/17,,
8450,霹靂,12/30,17.35,+0.05,+0.29,2025,年,0,0,0,,0,,0,0,,,
8923,時報,12/30,20,0,0,2025,年,0.85,0,0.85,22,3.86,,0,3.86,'25/07/08,,'25/07/29
9949,琉園,12/30,27.35,-0.15,-0.55,2025,年,0,0,0,,0,,0,0,,,
