代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2101,南港,12/30,37.6,-0.3,-0.79,2025,半年,0.5,0,0.5,42.4,1.18,,0,1.18,'25/03/20,,'25/04/10
2102,泰豐,12/30,19.55,-0.1,-0.51,2025,半年,0,0,0,,0,,0,0,,,
2103,台橡,12/30,16,+0.25,+1.59,2025,年,0.63,0,0.63,17.95,3.51,,0,3.51,'25/07/01,,'25/07/18
2104,國際中橡,12/30,11.65,+0.15,+1.3,2025,年,0,0,0,,0,,0,0,,,
2105,正新,12/30,29.4,-0.1,-0.34,2025,年,2.4,0,2.4,47.1,5.1,,0,5.1,'25/06/12,,'25/07/17
2106,建大,12/30,19.85,-0.05,-0.25,2025,年,1.1,0,1.1,23.95,4.59,,0,4.59,'25/06/17,,'25/07/14
2107,厚生,12/30,24.5,-0.05,-0.2,2025,年,1.4,0,1.4,26.2,5.34,,0,5.34,'25/06/16,,'25/07/09
2108,南帝,12/30,23.8,+0.9,+3.93,2025,年,1,0,1,32.35,3.09,,0,3.09,'25/03/26,,'25/04/24
2109,華豐,12/30,14.9,-0.05,-0.33,2025,半年,1.3,0,1.3,16.35,7.36,,0,7.36,'25/09/25,,'25/10/20
2114,鑫永銓,12/30,90.5,+0.4,+0.44,2025,年,5,0,5,92.3,5.42,,0,5.42,'25/06/24,,'25/07/21
6582,申豐,12/30,33.1,-0.15,-0.45,2025,年,1,0,1,33.5,2.99,,0,2.99,'25/08/28,,'25/09/18
