代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1319,東陽,12/30,97.4,-0.6,-0.61,2025,年,5.3,0,5.3,109,4.86,,0,4.86,'25/06/20,,'25/07/17
1338,廣華-KY,12/30,20.7,-0.1,-0.48,2025,年,0.775,0,0.775,23.75,3.26,,0,3.26,'25/07/09,,'25/07/25
1339,昭輝,12/30,44.05,-0.25,-0.56,2025,年,3,0,3,47.15,6.36,,0,6.36,'25/09/04,,'25/10/01
1512,瑞利,12/30,7.52,-0.03,-0.4,2025,年,0,0,0,,0,,0,0,,,
1521,大億,12/30,23.9,-0.1,-0.42,2025,年,1,0,1,26.15,3.82,,0,3.82,'25/06/27,,'25/07/30
1522,堤維西,12/30,46.25,-0.55,-1.18,2025,年,3,0,3,45.1,6.65,,0,6.65,'25/07/17,,'25/08/15
1522A,堤維西甲特,12/30,49.2,0,0,2025,年,2,0,2,50,4,,0,4,'25/07/17,,'25/08/15
1524,耿鼎,12/30,28.05,-0.35,-1.23,2025,年,2.3,0,2.3,36.6,6.28,,0,6.28,'25/04/17,,'25/05/16
1525,江申,12/30,64,+0.4,+0.63,2025,年,3.1,0,3.1,64,4.84,,0,4.84,'25/06/26,,'25/07/30
1533,車王電,12/30,32.5,+0.55,+1.72,2025,年,0,0,0,,0,,0,0,,,
1536,和大,12/30,56.4,-0.4,-0.7,2025,半年,0.8,0,0.8,47.25,1.69,,0,1.69,'25/04/10,,'25/05/15
1563,巧新,12/30,48.55,+0.5,+1.04,2025,年,2.269,0,2.269,51.4,4.41,,0,4.41,'25/08/12,,'25/09/05
1568,倉佑,12/30,22.6,-0.15,-0.66,2025,年,1.2,0,1.2,25.5,4.71,,0,4.71,'25/05/28,,'25/06/25
1587,吉茂,12/30,51.1,-1.8,-3.4,2026,半年,0,0,0,,,,0,0,,,
2115,六暉-KY,12/30,24.45,+0.05,+0.2,2025,年,1.5,0,1.5,29.2,5.14,,0,5.14,'25/06/17,,'25/07/11
2201,裕隆,12/30,33.65,0,0,2025,年,1.3,0,1.3,34.05,3.82,,0,3.82,'25/08/21,,'25/09/26
2204,中華,12/30,59.4,-0.6,-1,2025,年,4.2,0,4.2,57.6,7.29,,0,7.29,'25/07/17,,'25/08/20
2206,三陽工業,12/30,61.5,+0.3,+0.49,2026,半年,0,0,0,,0,,,0,,,
