代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2616,山隆,12/30,13.45,0,0,2025,年,0.3,0,0.3,14.9,2.01,,0,2.01,'25/07/10,,'25/08/08
6505,台塑化,12/30,49,0,0,2025,年,0.8,0,0.8,36.75,2.18,,0,2.18,'25/06/25,,'25/07/25
8908,欣雄,12/30,44.3,-0.15,-0.34,2025,年,1.3,0.301,1.601,45.5,2.86,42.4,0.71,3.57,'25/03/31,'25/09/09,'25/04/25
8917,欣泰,12/30,58.1,0,0,2025,年,2.2,0,2.2,61.9,3.55,,0,3.55,'25/07/02,,'25/07/31
8926,台汽電,12/30,41.1,-0.05,-0.12,2025,年,2.1,0,2.1,44.65,4.7,,0,4.7,'25/07/01,,'25/07/25
8927,北基,12/30,24,0,0,2025,年,0.3,1.7,2,49.9,0.6,49.9,3.41,4.01,'25/07/24,'25/07/24,'25/08/22
8931,大汽電,12/30,45.5,-0.3,-0.66,2025,年,2,0,2,52.8,3.79,,0,3.79,'25/07/30,,'25/08/28
9908,大台北,12/30,29.9,-0.05,-0.17,2025,年,1.2,0,1.2,31.25,3.84,,0,3.84,'25/07/30,,'25/08/29
9918,欣天然,12/30,39.7,+0.05,+0.13,2025,年,1.6,0,1.6,41.4,3.86,,0,3.86,'25/07/23,,'25/08/13
9926,新海,12/30,49.5,-0.05,-0.1,2025,年,2,0,2,52.2,3.83,,0,3.83,'25/07/21,,'25/08/18
9931,欣高,12/30,33.9,-0.1,-0.29,2025,年,1.8,0,1.8,36,5,,0,5,'25/06/23,,'25/07/18
9937,全國,12/30,57,-0.1,-0.18,2025,年,2.1,0,2.1,66.9,3.14,,0,3.14,'25/07/25,,'25/08/21
