代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1565,精華,12/30,117,+0.5,+0.43,2025,年,9.5,0,9.5,158.5,5.99,,0,5.99,'25/08/25,,'25/09/12
1707,葡萄王,12/30,126.5,-0.5,-0.39,2026,半年,2.2,0,2.2,126.5,1.74,,0,1.74,'26/01/08,,'26/02/05
1720,生達,12/30,58.9,-0.3,-0.51,2025,年,2.8,0,2.8,58.2,4.81,,0,4.81,'25/08/06,,'25/08/28
1731,美吾華,12/30,21.75,0,0,2025,年,1.2,0,1.2,23.2,5.17,,0,5.17,'25/06/30,,'25/07/24
1733,五鼎,12/30,30.55,-0.75,-2.4,2025,年,1.2,0,1.2,30.95,3.88,,0,3.88,'25/06/11,,'25/07/08
1734,杏輝,12/30,30.55,+0.1,+0.33,2025,年,1,0.5,1.5,32.55,3.07,32.55,1.54,4.61,'25/07/11,'25/09/02,'25/08/15
1752,南光,12/30,37.4,-0.15,-0.4,2025,年,1.6,0,1.6,36.65,4.37,,0,4.37,'25/07/03,,'25/07/31
1760,寶齡富錦,12/30,63.5,0,0,2025,年,1.8,0,1.8,78.2,2.3,,0,2.3,'25/06/12,,'25/07/10
1762,中化生,12/30,24.6,0,0,2025,年,0.192,0,0.192,28.45,0.67,,0,0.67,'25/07/24,,'25/08/19
1777,生泰,12/30,73.4,0,0,2025,年,5.3,0,5.3,85.4,6.21,,0,6.21,'25/07/21,,'25/08/15
1781,合世,12/30,10.95,-0.05,-0.45,2025,年,0,0,0,,0,,0,0,,,
1783,和康生,12/30,42.75,-0.25,-0.58,2025,年,0.83,0,0.83,44.1,1.88,,0,1.88,'25/09/05,,'25/09/30
1784,訊聯,12/30,105,-2.5,-2.33,2026,半年,0,0,0,,0,,0,0,,,
1786,科妍,12/30,73.7,0,0,2025,年,3.24,0,3.24,95.1,3.41,,0,3.41,'25/04/25,,'25/05/29
1788,杏昌,12/30,136.5,-0.5,-0.36,2025,年,7,0,7,143.5,4.88,,0,4.88,'25/06/23,,'25/07/18
1789,神隆,12/30,16.9,-0.35,-2.03,2025,年,0.35,0,0.35,17.3,2.02,,0,2.02,'25/07/03,,'25/07/24
1795,美時,12/30,280,-5,-1.75,2025,年,5.779,0,5.779,221.5,2.61,,0,2.61,'25/08/11,,'25/09/05
1799,易威,12/30,36.7,+1.05,+2.95,2025,年,0,0,0,,0,,0,0,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1813,寶利徠,12/30,12.75,-0.1,-0.78,2025,年,0,0,0,,0,,0,0,,,
3118,進階,12/30,33.25,-0.7,-2.06,2025,年,1.8,0,1.8,34,5.29,,0,5.29,'25/06/12,,'25/07/04
3164,景岳,12/30,18.2,0,0,2025,年,0.8,0,0.8,22.5,3.56,,0,3.56,'25/03/27,,'25/04/29
3176,基亞,12/30,32.9,+0.2,+0.61,2025,年,0,0,0,,0,,0,0,,,
3205,佰研,12/30,51.3,-0.7,-1.35,2025,年,0,0,0,,0,,0,0,,,
3218,大學光,12/30,145,-2.5,-1.69,2025,年,7.5,0,7.5,228,3.29,,0,3.29,'25/03/26,,'25/04/21
3705,永信,12/30,56.9,-0.3,-0.52,2025,年,3,0,3,62,4.84,,0,4.84,'25/06/24,,'25/07/16
3716,中化控股,12/30,33.35,-0.1,-0.3,2025,年,1.017,0,1.017,35.15,2.89,,0,2.89,'25/07/24,,'25/08/20
4102,永日,12/30,20,-0.05,-0.25,2025,年,1.15,0,1.15,23.3,4.94,,0,4.94,'25/07/04,,'25/08/08
4104,佳醫,12/30,82,0,0,2025,年,3.8,0.5,4.3,88.2,4.31,88.4,0.57,4.87,'25/04/24,'25/09/09,'25/05/22
4105,東洋,12/30,81.5,-1,-1.21,2025,年,4.2,0,4.2,78.5,5.35,,0,5.35,'25/03/27,,'25/04/25
4106,雃博,12/30,22.2,+0.15,+0.68,2025,年,0.8,0,0.8,22.6,3.54,,0,3.54,'25/07/31,,'25/08/26
4107,邦特,12/30,121,0,0,2025,年,5,0,5,118,4.24,,0,4.24,'25/07/28,,'25/08/28
4108,懷特,12/30,13.6,0,0,2025,年,0,0,0,,0,,0,0,,,
4109,加捷生醫,12/30,15.05,-0.1,-0.66,2025,年,0.5,0,0.5,16.9,2.96,,0,2.96,'25/09/24,,'25/10/23
4111,濟生,12/30,29.35,-0.05,-0.17,2025,年,1,0.5,1.5,33.7,2.97,33.7,1.48,4.45,'25/08/26,'25/08/26,'25/10/22
4114,健喬,12/30,32.3,0,0,2025,年,0.599,0.998,1.598,36.8,1.63,36.8,2.71,4.34,'25/07/11,'25/07/11,'25/08/15
4116,明基醫,12/30,44.05,-0.2,-0.45,2025,年,1.65,0,1.65,41.75,3.95,,0,3.95,'25/06/30,,'25/07/28
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
4119,旭富,12/30,48.9,-0.15,-0.31,2025,年,1.5,0,1.5,64.7,2.32,,0,2.32,'25/07/01,,'25/08/05
4120,友華,12/30,44.2,+0.2,+0.45,2025,年,1,0,1,56.4,1.77,,0,1.77,'25/07/07,,'25/08/06
4121,優盛,12/30,15.55,+0.1,+0.65,2025,年,0,0,0,,0,,0,0,,,
4123,晟德,12/30,41.45,+2.25,+5.74,2025,年,0.76,0.507,1.267,38.5,1.98,38.5,1.32,3.29,'25/10/03,'25/10/03,'25/11/10
