代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1402,遠東新,12/30,27.7,-0.1,-0.36,2025,年,1.6,0,1.6,32.35,4.95,,0,4.95,'25/07/15,,'25/08/13
1409,新纖,12/30,15.2,+0.05,+0.33,2025,年,0.6,0,0.6,15.8,3.8,,0,3.8,'25/08/26,,'25/09/26
1410,南染,12/30,33.75,-0.25,-0.74,2025,年,0.508,0,0.508,35.15,1.45,,0,1.45,'25/07/29,,'25/08/29
1413,宏洲,12/30,9.98,-0.07,-0.7,2025,年,0,0,0,,0,,0,0,,,
1414,東和,12/30,17.45,-0.1,-0.57,2025,年,0.23,0,0.23,20.45,1.12,,0,1.12,'25/04/07,,'25/05/02
1417,嘉裕,12/30,8.98,0,0,2025,年,0,0,0,,0,,0,0,,,
1418,東華,12/30,19.85,+0.05,+0.25,2025,年,0,0,0,,0,,0,0,,,
1419,新紡,12/30,66.9,-0.9,-1.33,2025,年,1.5,0,1.5,57.6,2.6,,0,2.6,'25/07/24,,'25/08/22
1423,利華,12/30,38.1,-0.4,-1.04,2025,年,0.8,0,0.8,38.3,2.09,,0,2.09,'25/06/17,,'25/07/11
1434,福懋,12/30,15.85,+0.1,+0.63,2025,年,0.8,0,0.8,16.95,4.72,,0,4.72,'25/07/24,,'25/08/27
1440,南紡,12/30,13.35,-0.05,-0.37,2025,年,0.3,0,0.3,13.15,2.28,,0,2.28,'25/07/16,,'25/08/15
1441,大東,12/30,10.45,0,0,2025,年,0,0,0,,0,,0,0,,,
1444,力麗,12/30,6.07,-0.01,-0.16,2025,年,0,0,0,,0,,0,0,,,
1445,大宇,12/30,13.35,+0.05,+0.38,2025,年,0.5,0,0.5,16.85,2.97,,0,2.97,'25/03/27,,'25/04/30
1446,宏和,12/30,18.25,-0.05,-0.27,2025,年,2,0,2,23.05,8.68,,0,8.68,'25/07/21,,'25/08/15
1447,力鵬,12/30,5.43,0,0,2025,年,0,0,0,,0,,0,0,,,
1449,佳和,12/30,11.1,-0.15,-1.33,2025,年,0,0.327,0.327,,0,12.5,2.61,2.61,,'25/10/13,
