代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
3073,天方能源,12/30,30.7,-0.4,-1.29,2025,年,0,0.65,0.65,,0,42.1,1.54,1.54,,'25/09/09,
3551,世禾,12/30,199,+3,+1.53,2025,年,3.4,0,3.4,163.5,2.08,,0,2.08,'25/07/07,,'25/08/01
3708,上緯投控,12/30,113,-3,-2.59,2025,半年,2.345,0,2.345,72.7,3.23,,0,3.23,'25/07/03,,'25/07/30
3713,新晶投控,12/30,23.1,-0.15,-0.65,2025,年,0,0,0,,0,,0,0,,,
5205,中茂,12/30,30.5,+0.4,+1.33,2025,年,0,0,0,,0,,0,0,,,
5292,華懋,12/30,165.5,+0.5,+0.3,2025,年,4.5,1,5.5,156,2.88,156,0.64,3.53,'25/07/10,'25/07/10,'25/08/01
5432,新門,12/30,178.5,+2.5,+1.42,2026,半年,0,0,0,,0,,,0,,,
6581,鋼聯,12/30,106,+1.5,+1.44,2025,年,6,0,6,120,5,,0,5,'25/03/27,,'25/04/25
6624,萬年清,12/30,67.4,-2,-2.88,2025,年,0.55,0,0.55,35.15,1.56,,0,1.56,'25/07/14,,'25/08/05
6641,基士德-KY,12/30,19.15,0,0,2025,年,1,0,1,22.9,4.37,,0,4.37,'25/07/07,,'25/08/01
6692,進能服,12/30,30.4,0,0,2025,年,0.499,0,0.499,37.35,1.33,,0,1.33,'25/07/10,,'25/08/08
6771,平和環保-創,12/30,45.2,-0.3,-0.66,2025,半年,3.5,0,3.5,59.9,5.84,,0,5.84,'25/06/26,,'25/07/22
6803,崑鼎,12/30,295.5,+1,+0.34,2025,年,15.24,0,15.24,300.5,5.07,,0,5.07,'25/07/03,,'25/07/23
6806,森崴能源,12/30,38.3,-0.45,-1.16,2025,年,1.227,0,1.227,60.8,2.02,,0,2.02,'25/08/21,,'25/09/12
6869,雲豹能源,12/30,92.5,-1.4,-1.49,2025,年,5.005,0,5.005,140,3.58,,0,3.58,'25/08/07,,'25/08/29
6873,泓德能源,12/30,100,-4,-3.85,2025,年,5.259,1.5,6.759,200.5,2.62,219.5,0.68,3.31,'25/04/01,'25/07/28,'25/04/23
6887,寶綠特-KY,12/30,61.1,+0.9,+1.5,2025,年,3.963,0,3.963,79,5.02,,0,5.02,'25/07/18,,'25/08/18
6894,衛司特,12/30,219.5,+4,+1.86,2025,年,6.8,0,6.8,172.5,3.94,,0,3.94,'25/06/10,,'25/06/30
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
6923,中台,12/30,101,-0.5,-0.49,2025,年,4.017,0,4.017,90.5,4.44,,0,4.44,'25/07/21,,'25/08/19
6944,兆聯實業,12/30,691,-2,-0.29,2025,年,14,0,14,486,2.88,,0,2.88,'25/07/11,,'25/08/01
6951,青新-創,12/30,74.2,0,0,2025,年,3.8,0,3.8,73,5.21,,0,5.21,'25/06/09,,'25/07/04
6969,成信實業*-創,12/30,29.2,-0.2,-0.68,2025,年,0,0,0,,0,,0,0,,,
6971,惠民實業,12/30,30.15,-0.3,-0.99,2025,年,1.5,0,1.5,44.65,3.36,,0,3.36,'25/08/26,,'25/10/28
6994,富威電力,12/30,95.5,+2.5,+2.69,2025,年,0.955,0,0.955,90.9,1.05,,0,1.05,'25/08/21,,'25/09/11
7610,聯友金屬-創,12/30,154,+9.5,+6.57,2025,年,0.201,2.348,2.549,76.9,0.26,76.9,3.05,3.31,'25/07/09,'25/07/09,'25/08/05
7715,裕山,12/30,30.4,-0.3,-0.98,2025,年,2.986,0,2.986,43.05,6.94,,0,6.94,'25/06/23,,'25/07/17
7740,熙特爾-創,12/30,158.5,+3,+1.93,2025,年,0,0,0,,0,,0,0,,,
7786,東方風能,12/30,152.5,-3.5,-2.24,2025,年,2,0,2,278.5,0.72,,0,0.72,'25/09/11,,'25/10/15
8087,麗升能源,12/30,31.9,+0.25,+0.79,2025,年,1,0,1,34.3,2.91,,0,2.91,'25/09/02,,'25/09/26
8171,天宇,12/30,25,-0.45,-1.77,2025,年,0,0,0,,0,,0,0,,,
8341,日友,12/30,77.6,-0.3,-0.39,2025,年,3.8,0,3.8,76.3,4.98,,0,4.98,'25/06/25,,'25/07/25
8390,金益鼎,12/30,91.2,-2.4,-2.56,2025,年,2.5,0,2.5,64.6,3.87,,0,3.87,'25/07/25,,'25/08/28
8422,可寧衛*,12/30,30.1,+0.8,+2.73,2025,年,9.944,0,9.944,191,5.21,,0,5.21,'25/06/10,,'25/06/30
