股票代號,股票名稱,紀念品,股價,市場別,最後買進日
3312,弘憶股,統一超商商品卡,35.8,上市,11/24/25
2371,大同,統一超商商品卡100元,34,上市,11/26/25
1733,五鼎,保鮮盒,30.75,上市,3/20/25
2465,麗臺,BtNPN植物奈米貼片,55,上市,3/20/25
2241,艾姆勒,統一商品卡50元,37.7,上市,3/19/25
3338,泰碩,全家禮物卡50元,49.5,上市,3/19/25
6799,來頡,統一商品卡50元,83.1,上市,3/19/25
2109,華豐,超商商品卡50元,15.1,上市,10/29/25
1463,強盛新,7-11商品卡50元,19.45,上市,10/29/25
3041,揚智,統一超商50元商品卡,24.95,上市,10/27/25
4739,康普,全家禮物卡35元,72,上市,3/26/25
1316,上曜,朝和生醫保健食品一包,15.5,上市,10/3/25
2328,廣宇,統一商品卡35元,47.35,上市,3/25/25
4934,太極,統一商品卡35元,13.55,上市,3/26/25
6698,旭暉應材,手提保溫保冰便當袋,30,上市,4/16/25
6558,興能高,統一商品卡35元,38.1,上市,3/26/25
1605,華新,"永續益田米(白米/每包1,000公克)",29.5,上市,3/13/25
1708,東鹼,東南實業股份有限公司小蘇打粉,32.85,上市,3/13/25
5283,禾聯碩,統一商品卡100元,63.4,上市,8/25/25
3645,達邁,全家禮物卡50元,54.1,上市,4/23/25
2409,友達,台灣產製真空包裝白米600公克,11.4,上市,3/26/25
8271,宇瞻,隨身碟,91.8,上市,3/19/25
2426,鼎元,統一商品卡50元,16.9,上市,3/26/25
2546,根基,環球購物中心禮券100元,86.5,上市,3/25/25
3708,上緯投控,統一商品卡50元,108,上市,7/30/25
2375,凱美,妙管家煥彩香氛洗衣球,94.4,上市,3/20/25
6885,全福生技,統一商品卡35元,29.6,上市,4/23/25
3035,智原,統一商品卡50元,170.5,上市,3/20/25
6235,華孚,有機白米,58.8,上市,3/20/25
6443,元晶,全家禮物卡50元,17.5,上市,3/20/25
3706,神達,坎佩尼亞義大利麵,86.5,上市,3/20/25
3714,富采,Ennostar x 黃阿瑪的後宮生活聯名不鏽鋼雙層碗,34.2,上市,3/20/25
2337,旺宏,統一商品卡50元,36.4,上市,3/20/25
2363,矽統,陶瓷碗,48.3,上市,3/19/25
4956,光鋐,玻璃碗*1入,20.3,上市,4/17/25
2890,永豐金,全家禮物卡100元,27.4,上市,1/30/25
2439,美律,全家企業禮贈卡50元,99.6,上市,3/25/25
2608,嘉里大榮,隨身碟,33.45,上市,3/26/25
3006,晶豪科,可折叠桌面手機支架,81.1,上市,4/9/25
8103,瀚荃,木質手機支架,88.9,上市,4/16/25
2369,菱生,統一商品卡50元,22.85,上市,3/26/25
2371,大同,統一商品卡100元,34,上市,2/12/25
1904,正隆,春風抽取式衛生紙一串,17.9,上市,3/26/25
2316,楠梓電,餐具組合,108.5,上市,4/16/25
6216,居易,輕薄辦公室便利貼,26.6,上市,4/23/25
1712,興農,一滴淨液態洗衣槽清潔劑一瓶,43.35,上市,3/25/25
5243,乙盛-KY,硅藻土杯墊,82.7,上市,4/17/25
6189,豐藝,全家禮物卡50元,44.75,上市,3/26/25
8021,尖點,LED觸控發光筆 ,166.5,上市,3/26/25
4104,佳醫,面膜,81.3,上市,4/23/25
8104,錸寶,除霉凝膠,32.25,上市,4/23/25
3034,聯詠,統一商品卡50元,377.5,上市,3/26/25
3028,增你強,多功能鑰匙扣燈,38.7,上市,4/10/25
3450,聯鈞,多功能廚用組,270,上市,3/26/25
1325,恆大,口罩壹盒,31.5,上市,4/17/25
1463,強盛新,統一商品卡50元,19.45,上市,3/26/25
3050,鈺德,除霉凝膠(替品保鮮盒)配貨,12.55,上市,4/16/25
2520,冠德,環球購物中心禮券100元,32.45,上市,3/26/25
2303,聯電,UMC x 咖波聯名限定鋼珠筆套組,48.65,上市,3/26/25
3607,谷崧,全家中杯美式咖啡卡,13.8,上市,4/23/25
1762,中化生,綠的抗菌旅行組合,24.9,上市,3/26/25
3049,精金,STAND濾掛咖啡Maja聯名5入組,6.7,上市,3/31/25
2104,國際中橡,多功能雙面蓋毯,11.7,上市,3/26/25
1101,台泥,多功能雙色蓋毯,22.35,上市,3/26/25
2547,日勝生,美容刷(替品洗髮精與面膜)配貨,10.6,上市,3/19/25
2233,宇隆,松村窯日式簡約5碗,187.5,上市,3/26/25
6243,迅杰,統一商品卡50元,30.5,上市,2/12/25
2352,佳世達,乖乖發財巾88抽,26.75,上市,3/26/25
6288,聯嘉,手提冰箱保鮮盒便當盒,20.95,上市,3/26/25
8261,富鼎,統一中杯美式咖啡卡,88.6,上市,3/26/25
1215,卜蜂,雞肉鬆乙包,144,上市,3/26/25
1340,勝悅-KY,全家禮物卡50元,7.2,上市,4/15/25
6202,盛群,統一商品卡50元,38.2,上市,3/26/25
2461,光群雷,手機支架(替品改發統一商品卡35元),15.2,上市,3/26/25
3711,日月光投控,微波保鮮盒,244.5,上市,4/23/25
2603,長榮,掌廚可樂膳無印耐熱矽膠料理配件6件組,180.5,上市,3/26/25
1308,亞聚,USii優系高效鎖鮮袋,13.9,上市,3/26/25
