代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2208,台船,12/30,20.25,0,0,2025,年,0,0,0,,0,,0,0,,,
2603,長榮,12/30,191,+0.5,+0.26,2025,年,32.5,0,32.5,246.5,13.2,,0,13.2,'25/06/19,,'25/07/18
2605,新興,12/30,26.6,+0.1,+0.38,2025,年,1.3,0,1.3,22.25,5.84,,0,5.84,'25/07/11,,'25/08/15
2606,裕民,12/30,61.1,-0.3,-0.49,2025,年,3.2,0,3.2,58.3,5.49,,0,5.49,'25/06/18,,'25/07/16
2607,榮運,12/30,57.8,+0.3,+0.52,2025,年,1.3,0,1.3,33.3,3.9,,0,3.9,'25/06/13,,'25/07/18
2608,嘉里大榮,12/30,33.3,0,0,2025,年,1.65,0,1.65,36.5,4.52,,0,4.52,'25/06/13,,'25/07/10
2609,陽明,12/30,56.3,-0.3,-0.53,2025,年,7.5,0,7.5,72.1,10.4,,0,10.4,'25/07/09,,'25/08/01
2610,華航,12/30,20.2,-0.35,-1.7,2025,年,0.796,0,0.796,21.85,3.64,,0,3.64,'25/07/16,,'25/08/18
2611,志信,12/30,14.75,-0.1,-0.67,2025,年,1.64,0,1.64,20.1,8.16,,0,8.16,'25/07/02,,'25/07/31
2612,中航,12/30,60.7,+0.3,+0.5,2025,年,2.1,0,2.1,47.45,4.43,,0,4.43,'25/05/28,,'25/06/27
2613,中櫃,12/30,23.75,-0.25,-1.04,2025,年,1,0,1,33.5,2.99,,0,2.99,'25/03/13,,'25/04/11
2615,萬海,12/30,79.5,-0.7,-0.87,2025,年,3.5,0,3.5,97.3,3.6,,0,3.6,'25/06/24,,'25/07/23
2617,台航,12/30,30.5,-0.2,-0.65,2025,年,1.5,0,1.5,28.35,5.29,,0,5.29,'25/07/21,,'25/08/13
2618,長榮航,12/30,36.3,-0.55,-1.49,2025,年,2.4,0,2.4,40.15,5.98,,0,5.98,'25/07/09,,'25/08/08
2630,亞航,12/30,53.6,-0.9,-1.65,2025,年,0.621,0,0.621,34.95,1.78,,0,1.78,'25/03/17,,'25/04/15
2633,台灣高鐵,12/30,27.95,0,0,2025,年,1.05,0,1.05,28.5,3.68,,0,3.68,'25/07/15,,'25/08/14
2634,漢翔,12/30,51.1,-0.8,-1.54,2025,年,1.38,0,1.38,43,3.21,,0,3.21,'25/07/09,,'25/08/07
2636,台驊控股,12/30,67,0,0,2025,半年,3,0,3,76,3.95,,0,3.95,'25/06/10,,'25/07/09
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2637,慧洋-KY,12/30,68.9,-0.1,-0.14,2025,年,5,0,5,65.5,7.63,,0,7.63,'25/06/13,,'25/07/11
2641,正德,12/30,20.15,-0.1,-0.49,2025,年,0.491,0,0.491,19.95,2.46,,0,2.46,'25/06/27,,'25/07/17
2642,宅配通,12/30,26.2,-0.1,-0.38,2025,年,0.5,0,0.5,26.55,1.88,,0,1.88,'25/06/04,,'25/06/27
2643,捷迅,12/30,73.6,+0.4,+0.55,2025,年,4.5,0,4.5,75.4,5.97,,0,5.97,'25/06/20,,'25/07/18
2645,長榮航太,12/30,143,-5.5,-3.7,2025,年,4.5,0,4.5,104.5,4.31,,0,4.31,'25/07/09,,'25/07/31
2646,星宇航空,12/30,23.7,-0.3,-1.25,2025,年,0,0,0,,0,,0,0,,,
5601,台聯櫃,12/30,36.3,+0.3,+0.83,2025,年,0.35,0,0.35,38.05,0.92,,0,0.92,'25/06/20,,'25/07/18
5603,陸海,12/30,18.75,+0.05,+0.27,2025,年,1,0,1,21.75,4.6,,0,4.6,'25/08/08,,'25/09/05
5607,遠雄港,12/30,48.4,-0.65,-1.33,2025,年,1.1,0.2,1.3,45.2,2.43,45.2,0.44,2.88,'25/07/30,'25/07/30,'25/08/29
5608,四維航,12/30,17.65,-0.15,-0.84,2025,年,0,0,0,,0,,0,0,,,
5609,中菲行,12/30,79.4,-0.3,-0.38,2025,年,5.2,0,5.2,83.3,6.24,,0,6.24,'25/06/06,,'25/06/26
6753,龍德造船,12/30,137,-2,-1.44,2025,年,1.25,0,1.25,145.5,0.86,,0,0.86,'25/09/03,,'25/09/25
6757,台灣虎航,12/30,65,-1.2,-1.81,2025,年,6.05,0,6.05,87.7,6.9,,0,6.9,'25/09/18,,'25/10/16
7716,昱臺國際,12/30,25,0,0,2025,年,2,0,2,36.2,5.52,,0,5.52,'25/07/21,,'25/08/15
8367,建新國際,12/30,43.45,-0.25,-0.57,2025,年,2.8,0,2.8,47.55,5.89,,0,5.89,'25/07/09,,'25/07/29
