代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1259,安心,12/30,61.8,-0.2,-0.32,2025,年,1.2,0,1.2,55.2,2.17,,0,2.17,'25/06/23,,'25/07/28
1268,漢來美食,12/30,158.5,-0.5,-0.31,2025,年,7.5,0,7.5,164,4.57,,0,4.57,'25/09/11,,'25/10/09
2701,萬企,12/30,11.25,+0.1,+0.9,2025,年,0.28,0,0.28,11.4,2.46,,0,2.46,'25/09/03,,'25/10/03
2702,華園,12/30,12,+0.1,+0.84,2025,年,0,0,0,,0,,0,0,,,
2704,國賓,12/30,43.3,-0.15,-0.35,2025,年,0.5,0,0.5,42.65,1.17,,0,1.17,'25/07/17,,'25/08/15
2705,六福,12/30,16.6,-0.05,-0.3,2025,年,0,0,0,,0,,0,0,,,
2706,第一店,12/30,12.9,-0.05,-0.39,2025,年,0.35,0,0.35,13.75,2.55,,0,2.55,'25/09/18,,'25/10/16
2707,晶華,12/30,189.5,-1,-0.52,2026,季,0,0,0,,0,,,0,,,
2712,遠雄來,12/30,18.3,+0.1,+0.55,2025,年,0,0,0,,0,,0,0,,,
2719,燦星旅,12/30,30.3,+0.05,+0.17,2025,年,0,0,0,,0,,0,0,,,
2722,夏都,12/30,26.3,+0.15,+0.57,2025,年,0.15,0,0.15,30.25,0.5,,0,0.5,'25/07/17,,'25/08/05
2723,美食-KY,12/30,71.7,0,0,2025,年,3,0,3,85.1,3.53,,0,3.53,'25/06/23,,'25/07/10
2726,雅茗-KY,12/30,13.15,+0.35,+2.73,2025,年,0,0,0,,0,,0,0,,,
2727,王品,12/30,217,-1.5,-0.69,2025,年,14.59,0,14.59,243.5,5.99,,0,5.99,'25/07/03,,'25/07/30
2729,瓦城,12/30,178.5,-0.5,-0.28,2025,年,8.084,1.011,9.095,210,3.85,208,0.49,4.34,'25/07/29,'25/08/11,'25/08/18
2731,雄獅,12/30,163.5,-1.5,-0.91,2025,年,7.5,0,7.5,160,4.69,,0,4.69,'25/07/11,,'25/08/05
2732,六角,12/30,70,-0.2,-0.28,2025,季,4,0,4,75.7,4.74,,0,4.74,'25/09/05,,'25/10/07
2734,易飛網,12/30,18.6,-0.05,-0.27,2025,年,0,0,0,,0,,0,0,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2736,富野,12/30,14.55,-0.2,-1.36,2025,年,0,0,0,,0,,0,0,,,
2739,寒舍,12/30,36,+0.1,+0.28,2025,年,1,0,1,40,2.5,,0,2.5,'25/07/09,,'25/07/31
2740,天蔥,12/30,26.95,-0.9,-3.23,2025,年,0,0,0,,0,,0,0,,,
2743,山富,12/30,79.5,+0.1,+0.13,2025,年,2,3,5,114,1.75,114,2.63,4.39,'25/09/18,'25/09/18,'25/10/23
2745,五福,12/30,104.5,-0.5,-0.48,2025,年,6.5,0,6.5,121,5.37,,0,5.37,'25/09/11,,'25/10/15
2748,雲品,12/30,42.4,-0.65,-1.51,2025,年,2,0,2,49.75,4.02,,0,4.02,'25/08/13,,'25/09/09
2751,王座,12/30,62,-0.6,-0.96,2025,半年,5.992,0,5.992,71.5,8.64,,0,8.64,'25/08/28,,'25/09/30
2752,豆府,12/30,207,-0.5,-0.24,2025,年,14,0,14,250.5,5.59,,0,5.59,'25/03/27,,'25/04/21
2753,八方雲集,12/30,191,-0.5,-0.26,2025,半年,10,0,10,197,5.41,,0,5.41,'25/12/24,,'26/01/22
2754,亞洲藏壽司,12/30,84.1,-1,-1.18,2025,年,0.8,0,0.8,89.1,0.9,,0,0.9,'25/08/14,,'25/09/10
2755,揚秦,12/30,117,-0.5,-0.43,2025,年,2.97,1.974,4.944,141.5,2.1,156,1.27,3.36,'25/07/31,'25/09/04,'25/08/28
2756,聯發國際,12/30,86.8,+2.3,+2.72,2026,季,0,0,0,,0,,,0,,,
3252,海灣,12/30,19.9,-0.05,-0.25,2025,年,0,0,0,,0,,0,0,,,
3522,御嵿,12/30,19.35,+1.05,+5.74,2025,年,0,0,0,,0,,0,0,,,
4419,皇家美食,12/30,52.2,+1.3,+2.55,2025,年,0,0,0,,0,,0,0,,,
4530,宏易,12/30,30.5,+1.85,+6.46,2025,年,0,0,0,,0,,0,0,,,
4804,大略-KY,12/30,7.4,-0.05,-0.67,2025,季,0,0,0,,0,,0,0,,,
