代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2855,統一證,12/30,23.9,-0.2,-0.83,2025,年,1.1,1,2.1,22.6,4.87,22.6,4.42,9.29,'25/07/08,'25/07/08,'25/08/12
5864,致和證,12/30,14.9,+0.05,+0.34,2025,年,0.4,0.8,1.2,13.35,3,13.35,5.99,8.99,'25/07/04,'25/07/04,'25/08/08
6005,群益證,12/30,23.9,-0.1,-0.42,2025,年,1.5,0,1.5,22.1,6.79,,0,6.79,'25/06/17,,'25/07/14
6015,宏遠證,12/30,10.8,-0.05,-0.46,2025,年,0.5,0,0.5,10.85,4.61,,0,4.61,'25/03/20,,'25/04/25
6016,康和證,12/30,13.05,0,0,2025,年,0.225,1,1.225,11.75,1.91,11.75,8.51,10.4,'25/08/04,'25/08/04,'25/08/27
6020,大展證,12/30,19,0,0,2025,年,0.509,0,0.509,19,2.68,,0,2.68,'25/03/27,,'25/04/21
6021,美好證,12/30,25.1,-0.1,-0.4,2025,半年,1.84,0,1.84,23.35,7.88,,0,7.88,'25/04/17,,'25/05/23
6023,元大期,12/30,95.5,+0.5,+0.53,2025,年,4.8,0,4.8,84.8,5.66,,0,5.66,'25/06/09,,'25/06/30
6024,群益期,12/30,51.2,-0.3,-0.58,2025,年,2.83,0,2.83,50.3,5.63,,0,5.63,'25/06/18,,'25/07/15
6026,福邦證,12/30,13.1,0,0,2025,年,1.099,0,1.099,12.7,8.65,,0,8.65,'25/06/13,,'25/07/07
