代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2601,益航,12/30,5.47,-0.02,-0.36,2025,年,0,0,0,,0,,0,0,,,
2901,欣欣,12/30,24.65,0,0,2025,年,0.371,0,0.371,26.05,1.42,,0,1.42,'25/08/26,,'25/09/22
2903,遠百,12/30,21.95,-0.15,-0.68,2025,年,1.35,0,1.35,22.25,6.07,,0,6.07,'25/06/24,,'25/07/22
2905,三商,12/30,15.75,0,0,2025,年,0.303,0,0.303,13.1,2.32,,0,2.32,'25/09/10,,'25/09/30
2906,高林,12/30,12.9,+0.05,+0.39,2025,年,0.6,0,0.6,15.45,3.88,,0,3.88,'25/07/15,,'25/08/08
2908,特力,12/30,20.3,-0.05,-0.25,2025,年,0.9,0,0.9,20.9,4.31,,0,4.31,'25/06/16,,'25/07/04
2910,統領,12/30,20.8,-0.05,-0.24,2025,年,0.95,0,0.95,24.95,3.81,,0,3.81,'25/03/31,,'25/04/25
2911,麗嬰房,12/30,5.21,+0.47,+9.92,2025,年,0,0,0,,0,,0,0,,,
2912,統一超,12/30,223.5,-1.5,-0.67,2025,年,9,0,9,262.5,3.43,,0,3.43,'25/07/31,,'25/09/03
2913,農林,12/30,13.45,-0.1,-0.74,2025,年,0,0,0,,0,,0,0,,,
2915,潤泰全,12/30,55.4,-0.4,-0.72,2025,年,2.5,0,2.5,53.2,4.7,,0,4.7,'25/07/17,,'25/08/08
2929,淘帝-KY,12/30,8.02,-0.06,-0.74,2025,年,0,0,0,,0,,0,0,,,
2939,永邑-KY,12/30,24.3,+0.35,+1.46,2026,半年,0,0,0,,0,,,0,,,
2945,三商家購,12/30,37.6,-0.4,-1.05,2025,年,1.5,0,1.5,39.95,3.75,,0,3.75,'25/07/09,,'25/07/31
4807,日成-KY,12/30,18.35,-0.1,-0.54,2025,年,0,0,0,,0,,0,0,,,
5906,台南-KY,12/30,51.6,0,0,2025,年,0.8,0.2,1,50.5,1.58,50.5,0.4,1.98,'25/09/11,'25/09/11,'25/10/17
5907,大洋-KY,12/30,5.59,-0.02,-0.36,2025,年,0,0,0,,0,,0,0,,,
8429,金麗-KY,12/30,7.75,+0.04,+0.52,2025,年,0,0,0,,0,,0,0,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
8443,阿瘦,12/30,11.15,0,0,2025,季,0.2,0,0.2,12.05,1.66,,0,1.66,'25/07/07,,
