代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2427,三商電,12/30,26.6,-0.2,-0.75,2025,年,0.697,0,0.697,30.5,2.29,,0,2.29,'25/08/05,,'25/08/29
2453,凌群,12/30,52.8,-0.2,-0.38,2025,年,2.6,0,2.6,58.5,4.44,,0,4.44,'25/07/10,,'25/08/08
2468,華經,12/30,41.9,-0.1,-0.24,2025,年,0.9,0,0.9,60.7,1.48,,0,1.48,'25/08/28,,'25/09/25
2471,資通,12/30,49.95,-0.05,-0.1,2025,年,3.059,0,3.059,56.5,5.41,,0,5.41,'25/07/22,,'25/08/18
2480,敦陽科,12/30,152,0,0,2025,年,7.422,0,7.422,156.5,4.74,,0,4.74,'25/06/18,,'25/07/11
3029,零壹,12/30,112.5,-2,-1.75,2025,年,5,0,5,147,3.4,,0,3.4,'25/03/20,,'25/04/18
3147,大綜,12/30,166,0,0,2025,年,5,1.2,6.2,222,2.25,222,0.54,2.79,'25/08/19,'25/08/19,'25/09/12
3158,嘉實,12/30,93.4,+0.9,+0.97,2025,年,6,0,6,125.5,4.78,,0,4.78,'25/04/09,,'25/05/07
3570,大塚,12/30,165,-1,-0.6,2025,年,9,0,9,214,4.21,,0,4.21,'25/07/03,,'25/07/31
4953,緯軟,12/30,120,-1.5,-1.23,2025,年,3.99,0,3.99,101.5,3.93,,0,3.93,'25/07/10,,'25/07/29
4994,傳奇,12/30,96.7,-0.2,-0.21,2025,年,5,0,5,98.2,5.09,,0,5.09,'25/06/13,,'25/07/11
5201,凱衛,12/30,45.25,-0.25,-0.55,2025,年,1.35,0,1.35,38.5,3.51,,0,3.51,'25/03/27,,'25/04/24
5202,力新,12/30,16.3,-0.05,-0.31,2025,年,0.5,0,0.5,21.75,2.3,,0,2.3,'25/08/28,,'25/09/26
5203,訊連,12/30,89.2,+0.7,+0.79,2025,年,3.899,0,3.899,97.7,3.99,,0,3.99,'25/08/14,,'25/09/05
5210,寶碩,12/30,22.95,+0.9,+4.08,2025,年,0,0,0,,0,,0,0,,,
5211,蒙恬,12/30,27.1,+0.5,+1.88,2025,年,0,0,0,,0,,0,0,,,
5212,凌網,12/30,52.2,-0.1,-0.19,2025,年,3.5,0,3.5,59.1,5.92,,0,5.92,'25/04/09,,'25/05/14
5310,天剛,12/30,29.6,+1.1,+3.86,2025,年,0,0,0,,0,,0,0,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
5403,中菲,12/30,116.5,0,0,2025,年,6.503,0,6.503,129,5.04,,0,5.04,'25/05/28,,'25/06/20
5410,國眾,12/30,30.9,+0.15,+0.49,2025,年,1.498,0,1.498,28.75,5.21,,0,5.21,'25/07/30,,'25/08/22
6112,邁達特,12/30,46.4,-0.7,-1.49,2025,年,0.6,0,0.6,56,1.07,,0,1.07,'25/07/17,,'25/08/13
6123,上奇,12/30,48,+0.05,+0.1,2026,季,0,0,0,,0,,,0,,,
6140,訊達,12/30,26.75,-0.4,-1.47,2025,年,0,1,1,,0,41.75,2.4,2.4,,'25/09/01,
6148,驊宏資,12/30,40.55,-0.8,-1.93,2026,季,0,0,0,,0,,,0,,,
6183,關貿,12/30,95.2,0,0,2025,年,3.2,0,3.2,100.5,3.18,,0,3.18,'25/08/26,,'25/09/19
6214,精誠,12/30,120,-2,-1.64,2025,年,5.2,0,5.2,109,4.77,,0,4.77,'25/06/24,,'25/07/11
6221,晉泰,12/30,31.75,-0.55,-1.7,2025,年,0,3.5,3.5,,0,50.5,6.93,6.93,,'25/10/31,
6231,系微,12/30,216.5,+1,+0.46,2025,年,6.5,0,6.5,243.5,2.67,,0,2.67,'25/07/22,,'25/08/14
6240,松崗,12/30,19.25,0,0,2025,年,0,0,0,,0,,0,0,,,
6516,勤崴國際,12/30,62.7,0,0,2025,年,2.21,0,2.21,82.2,2.69,,0,2.69,'25/06/11,,'25/07/04
6590,普鴻,12/30,75.5,0,0,2025,半年,2.8,1.5,4.3,83.8,3.34,83.8,1.79,5.13,'25/03/20,'25/10/14,'25/04/18
6593,台灣銘板,12/30,37.1,-0.35,-0.93,2025,年,0.447,0,0.447,47.65,0.94,,0,0.94,'25/09/25,,'25/10/23
6697,東捷資訊,12/30,47.85,-0.15,-0.31,2025,年,2.1,0,2.1,50.7,4.14,,0,4.14,'25/03/19,,'25/04/22
6751,智聯服務,12/30,51.8,0,0,2025,年,1,0,1,43.45,2.3,,0,2.3,'25/07/03,,'25/07/29
6752,叡揚,12/30,123,-2.5,-1.99,2025,年,3.7,0.5,4.2,145,2.55,158.5,0.32,2.87,'25/03/27,'25/08/26,'25/05/02
6791,虎門科技,12/30,102.5,+0.5,+0.49,2025,年,3.481,0,3.481,114.5,3.04,,0,3.04,'25/04/18,,'25/05/14
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
6874,倍力,12/30,67,-0.7,-1.03,2025,年,4.04,0,4.04,87.7,4.61,,0,4.61,'25/08/07,,'25/08/29
6884,海柏特,12/30,36.1,-1,-2.7,2025,年,1.5,0,1.5,55.1,2.72,,0,2.72,'25/07/03,,'25/07/29
7767,仁大資訊,12/30,51,0,0,2025,年,3,0,3,58.8,5.1,,0,5.1,'25/06/11,,'25/06/30
8099,大世科,12/30,72.9,0,0,2025,年,0.8,1.3,2.1,83.5,0.96,83.5,1.56,2.51,'25/09/22,'25/09/22,'25/10/28
8272,全景軟體,12/30,79.7,-0.3,-0.38,2025,年,2.4,0,2.4,81,2.96,,0,2.96,'25/07/31,,'25/08/28
8284,三竹,12/30,63.3,0,0,2025,年,4,0,4,70,5.71,,0,5.71,'25/07/03,,'25/07/25
8416,實威,12/30,180.5,+0.5,+0.28,2025,年,8,0,8,170,4.71,,0,4.71,'25/06/17,,'25/07/08
