代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2314,台揚,12/30,22.6,-0.3,-1.31,2025,年,0,0,0,,0,,0,0,,,
2321,東訊,12/30,15.85,0,0,2025,年,0,0,0,,0,,0,0,,,
2332,友訊,12/30,15.1,-0.15,-0.98,2025,年,0.1,0,0.1,16.4,0.61,,0,0.61,'25/05/27,,'25/06/25
2345,智邦,12/30,1190,-25,-2.06,2025,年,11,0,11,852,1.29,,0,1.29,'25/07/30,,'25/08/29
2412,中華電,12/30,131,-1,-0.76,2025,年,5,0,5,134.5,3.72,,0,3.72,'25/07/03,,'25/08/08
2419,仲琦,12/30,23.8,-0.35,-1.45,2025,年,0,0,0,,0,,0,0,,,
2424,隴華,12/30,36.15,-0.35,-0.96,2025,年,0,0,0,,0,,0,0,,,
2439,美律,12/30,98.3,-1,-1.01,2025,年,7.29,0,7.29,117,6.23,,0,6.23,'25/08/28,,'25/09/26
2444,兆勁,12/30,11.6,+0.05,+0.43,2025,年,0,0,0,,0,,0,0,,,
2450,神腦,12/30,28.95,-0.05,-0.17,2025,年,1.65,0,1.65,31.2,5.29,,0,5.29,'25/06/19,,'25/07/15
2455,全新,12/30,154,-1.5,-0.96,2025,年,3.218,0,3.218,121,2.66,,0,2.66,'25/06/20,,'25/07/11
2485,兆赫,12/30,26.75,-0.35,-1.29,2025,年,0,0,0,,0,,0,0,,,
2498,宏達電,12/30,49.5,+0.1,+0.2,2025,年,0,0,0,,0,,0,0,,,
3025,星通,12/30,65.1,+1.1,+1.72,2025,年,3.3,0,3.3,51.7,6.38,,0,6.38,'25/08/28,,'25/09/26
3027,盛達,12/30,23.2,-0.1,-0.43,2025,年,0,0,0,,0,,0,0,,,
3045,台灣大,12/30,110.5,+1,+0.91,2025,年,4.5,0,4.5,113,3.98,,0,3.98,'25/07/09,,'25/07/31
