代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1432,大魯閣,12/30,18.1,-0.15,-0.82,2025,年,0,0,0,,0,,0,0,,,
1593,祺驊,12/30,28.8,-0.15,-0.52,2026,季,0,0,0,,0,,,0,,,
1598,岱宇,12/30,20.55,-0.25,-1.2,2025,年,0.5,0,0.5,22.7,2.2,,0,2.2,'25/06/02,,'25/06/24
1736,喬山,12/30,149.5,-2,-1.32,2025,年,4,0,4,155.5,2.57,,0,2.57,'25/07/31,,'25/08/28
2762,世界健身-KY,12/30,76.8,+0.6,+0.79,2025,季,5.525,0,5.525,80.6,6.79,,0,6.79,'25/11/27,,'25/12/18
4536,拓凱,12/30,159.5,-1,-0.62,2026,半年,0,0,0,,0,,,0,,,
5306,桂盟,12/30,90.4,+1.6,+1.8,2026,季,1.034,0,1.034,90.4,1.14,,0,1.14,,,
5348,正能量智能,12/30,18.25,+0.2,+1.11,2025,年,0,0,0,,0,,0,0,,,
6670,復盛應用,12/30,258,+2.5,+0.98,2025,年,19.65,0,19.65,309.5,6.35,,0,6.35,'25/07/07,,'25/07/31
6768,志強-KY,12/30,106,-2,-1.85,2025,年,6.175,0,6.175,106,5.83,,0,5.83,'25/06/23,,'25/07/14
6804,明係,12/30,17,-0.15,-0.87,2025,年,1,0,1,24.8,4.03,,0,4.03,'25/06/13,,'25/07/04
6890,來億-KY,12/30,250.5,-3.5,-1.38,2025,年,9,0,9,300,3,,0,3,'25/06/26,,'25/07/28
6965,中傑-KY,12/30,91.6,+8.3,+9.96,2025,年,6,0,6,101.5,5.91,,0,5.91,'25/06/12,,'25/07/17
8462,柏文,12/30,149,-0.5,-0.33,2025,年,4.205,0,4.205,129.5,3.25,,0,3.25,'25/06/30,,'25/07/25
8467,波力-KY,12/30,175,+4.5,+2.64,2025,季,4.058,0,4.058,155.5,2.43,,0,2.43,'25/12/19,,'26/01/16
8478,東哥遊艇,12/30,189.5,-2,-1.04,2025,年,5,0,5,208.5,2.4,,0,2.4,'25/08/06,,'25/08/29
8924,大田,12/30,72.1,-0.3,-0.41,2025,年,4.3,0,4.3,67.4,6.38,,0,6.38,'25/06/03,,'25/06/20
8928,鉅明,12/30,24.95,-0.05,-0.2,2025,年,1.7,0,1.7,29.65,5.73,,0,5.73,'25/08/07,,'25/09/12
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
8933,愛地雅,12/30,6,+0.02,+0.33,2025,年,0,0,0,,0,,0,0,,,
8938,明安,12/30,69.4,-0.1,-0.14,2025,年,4.089,0,4.089,80,5.11,,0,5.11,'25/03/27,,'25/05/02
9802,鈺齊-KY,12/30,102,-0.5,-0.49,2026,半年,2,0,2,102,1.96,,0,1.96,,,
9904,寶成,12/30,30.2,-0.2,-0.66,2025,年,1.7,0,1.7,35.05,4.85,,0,4.85,'25/07/03,,'25/07/25
9910,豐泰,12/30,116,+5,+4.5,2025,年,5.1,0,5.1,121.5,4.2,,0,4.2,'25/06/16,,'25/07/16
9914,美利達,12/30,82.9,-0.1,-0.12,2025,年,4,0,4,117,3.42,,0,3.42,'25/08/07,,'25/09/05
9921,巨大,12/30,94.6,+1.6,+1.72,2025,年,2.2,0,2.2,105.5,2.09,,0,2.09,'25/08/26,,'25/09/18
9960,邁達康,12/30,21.25,0,0,2025,年,1.7,0,1.7,25.05,6.79,,0,6.79,'25/08/14,,'25/09/09
