代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2880,華南金,12/30,31.6,-0.75,-2.32,2025,年,1.25,0.1,1.35,29.35,4.26,29.35,0.34,4.6,'25/08/13,'25/08/13,'25/08/29
2881,富邦金,12/30,97,-1.2,-1.22,2025,年,4.25,0.25,4.5,87.3,4.87,89,0.28,5.15,'25/07/01,'25/09/25,'25/07/31
2881A,富邦特,12/30,63.2,-0.1,-0.16,2025,年,2.749,0,2.749,64.5,4.26,,0,4.26,'25/07/01,,'25/07/31
2881B,富邦金乙特,12/30,61.6,-0.1,-0.16,2025,年,2.16,0,2.16,62.6,3.45,,0,3.45,'25/07/01,,'25/07/31
2881C,富邦金丙特,12/30,53.4,-0.3,-0.56,2025,年,1.8,0,1.8,53,3.4,,0,3.4,'25/07/01,,'25/07/31
2882,國泰金,12/30,76.2,+0.2,+0.26,2025,年,3.5,0,3.5,67.9,5.15,,0,5.15,'25/06/30,,'25/07/28
2882A,國泰特,12/30,60.7,0,0,2025,年,2.526,0,2.526,62.4,4.05,,0,4.05,'25/06/30,,'25/07/28
2882B,國泰金乙特,12/30,60,0,0,2025,年,2.13,0,2.13,61.2,3.48,,0,3.48,'25/06/30,,'25/07/28
2883,凱基金,12/30,17.5,-0.1,-0.57,2025,年,0.85,0.1,0.95,16.1,5.28,15.55,0.64,5.92,'25/06/30,'25/08/29,'25/07/30
2883B,凱基金乙特,12/30,7.86,-0.02,-0.25,2025,年,0.355,0,0.355,7.75,4.58,,0,4.58,'25/06/30,,'25/07/30
2884,玉山金,12/30,33.85,+0.2,+0.59,2025,年,1.2,0.1,1.3,34.2,3.51,34.2,0.29,3.8,'25/07/22,'25/07/22,'25/08/27
2885,元大金,12/30,39.65,-0.2,-0.5,2025,年,1.55,0.3,1.85,34.15,4.54,33.2,0.9,5.44,'25/07/01,'25/08/12,'25/07/23
2886,兆豐金,12/30,40.15,-0.2,-0.5,2025,年,1.6,0,1.6,43,3.72,,0,3.72,'25/08/07,,'25/09/05
2887,台新新光金,12/30,20.55,+0.15,+0.74,2025,年,0.9,0,0.9,16.55,5.44,,0,5.44,'25/08/12,,'25/09/04
2887E,台新新光戊特一,12/30,50,+0.1,+0.2,2025,年,2.436,0,2.436,50.4,4.83,,0,4.83,'25/07/08,,'25/07/23
2887F,台新新光戊特二,12/30,47.4,+0.95,+2.05,2025,年,1.9,0,1.9,45.8,4.15,,0,4.15,'25/07/08,,'25/07/23
2887G,台新新光庚特一,12/30,39.6,0,0,,,,,,,,,,,,,
2887H,台新新光庚特二,12/30,39.2,0,0,,,,,,,,,,,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2887I,台新新光辛特,12/30,9.33,+0.01,+0.11,,,,,,,,,,,,,
2887Z1,台新新光己特,12/30,16.55,0,0,2025,年,0.653,0,0.653,15.7,4.16,,0,4.16,'25/07/08,,'25/07/23
2889,國票金,12/30,16.4,+0.1,+0.61,2025,年,0.3,0.287,0.587,15.85,1.89,15.85,1.81,3.7,'25/07/29,'25/07/29,'25/08/15
2890,永豐金,12/30,28.8,-0.1,-0.35,2025,年,0.91,0.34,1.25,25.85,3.52,25.85,1.32,4.84,'25/08/21,'25/08/21,'25/09/22
2891,中信金,12/30,50.2,-0.2,-0.4,2025,年,2.3,0,2.3,43.85,5.25,,0,5.25,'25/07/14,,'25/08/08
2891B,中信金乙特,12/30,63.7,-0.1,-0.16,2025,年,2.26,0,2.26,64.3,3.52,,0,3.52,'25/07/14,,'25/08/08
2891C,中信金丙特,12/30,60.2,0,0,2025,年,1.92,0,1.92,60.5,3.17,,0,3.17,'25/07/14,,'25/08/08
2892,第一金,12/30,29.75,+0.25,+0.85,2025,年,0.95,0.25,1.2,30.75,3.09,30.75,0.81,3.9,'25/08/07,'25/08/07,'25/08/27
5880,合庫金,12/30,24.4,-0.15,-0.61,2025,年,0.7,0.3,1,25.95,2.7,25.95,1.16,3.85,'25/08/13,'25/08/13,'25/09/16
