代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2801,彰銀,12/30,20.45,-0.05,-0.24,2025,年,0.5,0.5,1,19.95,2.51,19.95,2.51,5.01,'25/07/31,'25/07/31,'25/09/04
2812,台中銀,12/30,20.9,-0.1,-0.48,2025,年,0.39,0.73,1.12,23.4,1.67,23.4,3.12,4.79,'25/08/13,'25/08/13,'25/09/17
2820,華票,12/30,16.9,-0.05,-0.29,2025,年,0.78,0,0.78,15.6,5,,0,5,'25/06/30,,'25/07/25
2834,臺企銀,12/30,16.1,-0.05,-0.31,2025,年,0.2,0.6,0.8,16.25,1.23,16.25,3.69,4.92,'25/08/05,'25/08/05,'25/09/09
2836,高雄銀,12/30,12.2,-0.2,-1.61,2025,年,0.3,0.3,0.6,12.3,2.44,12.3,2.44,4.88,'25/07/24,'25/07/24,'25/08/29
2836A,高雄銀甲特,12/30,23.85,-0.05,-0.21,2025,年,0.775,0,0.775,22.75,3.41,,0,3.41,'25/07/09,,'25/07/31
2838,聯邦銀,12/30,19.3,-0.3,-1.53,2025,年,0.35,0.7,1.05,18.1,1.93,18.1,3.87,5.8,'25/07/23,'25/07/23,'25/08/26
2838A,聯邦銀甲特,12/30,54.4,-0.2,-0.37,2025,年,2.631,0,2.631,55.6,4.73,,0,4.73,'25/07/11,,'25/08/01
2845,遠東銀,12/30,12.9,0,0,2025,年,0.5,0.25,0.75,13.6,3.68,13.6,1.84,5.51,'25/09/02,'25/09/02,'25/09/30
2849,安泰銀,12/30,13.45,-0.05,-0.37,2025,年,0.38,0,0.38,13.8,2.75,,0,2.75,'25/07/15,,'25/08/06
2897,王道銀行,12/30,9.15,-0.02,-0.22,2025,年,0.5,0,0.5,9.35,5.35,,0,5.35,'25/07/10,,'25/08/06
2897B,王道銀乙特,12/30,11.85,0,0,2025,年,0.145,0,0.145,12,1.2,,0,1.2,'25/07/10,,'25/08/06
5876,上海商銀,12/30,40.8,+0.1,+0.25,2025,年,1.8,0,1.8,46.4,3.88,,0,3.88,'25/07/01,,'25/07/25
