代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2002,中鋼,12/30,19.25,+0.15,+0.79,2025,年,0.33,0,0.33,20,1.65,,0,1.65,'25/07/24,,'25/08/27
2002A,中鋼特,12/30,38.85,0,0,2025,年,1.4,0,1.4,40.35,3.47,,0,3.47,'25/07/24,,'25/08/27
2006,東和鋼鐵,12/30,64.1,-0.2,-0.31,2025,年,4,0,4,76.6,5.22,,0,5.22,'25/03/20,,'25/04/23
2007,燁興,12/30,7.43,-0.01,-0.13,2025,年,0,0,0,,0,,0,0,,,
2008,高興昌,12/30,29.2,+0.15,+0.52,2025,年,0.5,0,0.5,24.35,2.05,,0,2.05,'25/07/11,,'25/08/14
2009,第一銅,12/30,49.6,-4.8,-8.82,2025,年,0.5,0,0.5,34.25,1.46,,0,1.46,'25/07/22,,'25/08/27
2010,春源,12/30,20.5,-0.35,-1.68,2025,年,1.3,0,1.3,18.75,6.93,,0,6.93,'25/04/17,,'25/05/23
2012,春雨,12/30,16.45,-0.15,-0.9,2026,半年,0,0,0,,0,,0,0,,,
2013,中鋼構,12/30,41.95,0,0,2025,年,2,0,2,44,4.55,,0,4.55,'25/07/14,,'25/08/07
2014,中鴻,12/30,16.2,+0.2,+1.25,2025,年,0,0,0,,0,,0,0,,,
2015,豐興,12/30,61.3,-0.7,-1.13,2025,年,3.5,0,3.5,72,4.86,,0,4.86,'25/03/27,,'25/04/25
2017,官田鋼,12/30,8.51,0,0,2025,年,0,0,0,,0,,0,0,,,
2020,美亞,12/30,23.8,-0.05,-0.21,2025,年,2.2,0,2.2,28.05,7.84,,0,7.84,'25/06/11,,'25/07/04
2022,聚亨,12/30,8.19,+0.02,+0.24,2025,年,0,0,0,,0,,0,0,,,
2023,燁輝,12/30,14.8,-0.05,-0.34,2025,年,0,0,0,,0,,0,0,,,
2024,志聯,12/30,16.95,-0.1,-0.59,2025,年,0,0,0,,0,,0,0,,,
2025,千興,12/30,9.37,+0.03,+0.32,2025,年,0,0,0,,0,,0,0,,,
2027,大成鋼,12/30,35.75,+0.2,+0.56,2025,年,1.1,0,1.1,33.4,3.29,,0,3.29,'25/07/11,,'25/08/14
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2028,威致,12/30,17.6,-0.05,-0.28,2026,季,0,0,0,,0,,,0,,,
2029,盛餘,12/30,21.3,-0.05,-0.23,2025,年,1.25,0,1.25,24.15,5.18,,0,5.18,'25/07/15,,'25/08/15
2030,彰源,12/30,14.25,-0.05,-0.35,2025,年,0.712,0,0.712,15,4.74,,0,4.74,'25/07/01,,'25/08/01
2031,新光鋼,12/30,37.9,-0.55,-1.43,2025,年,2.5,0,2.5,41.75,5.99,,0,5.99,'25/06/19,,'25/07/23
2032,新鋼,12/30,14.95,-0.05,-0.33,2025,年,0.375,0,0.375,14.15,2.65,,0,2.65,'25/06/27,,'25/08/12
2033,佳大,12/30,15.85,+0.15,+0.96,2025,年,0.2,0,0.2,16,1.25,,0,1.25,'25/08/07,,'25/08/29
2034,允強,12/30,21.4,-0.3,-1.38,2025,年,1,0,1,21.3,4.69,,0,4.69,'25/07/15,,'25/08/11
2035,唐榮,12/30,28.25,0,0,2025,年,0,0,0,,0,,0,0,,,
2038,海光,12/30,14.65,-0.1,-0.68,2025,年,0,0.2,0.2,,0,15.55,1.29,1.29,,'25/08/28,
2063,世鎧,12/30,24.2,-0.1,-0.41,2026,季,0,0,0,,0,,,0,,,
2064,晉椿,12/30,11.6,+0.15,+1.31,2025,年,0,0,0,,0,,0,0,,,
2065,世豐,12/30,28.55,-0.15,-0.52,2026,季,0,0,0,,0,,0,0,,,
2069,運錩,12/30,18.75,+0.05,+0.27,2025,年,0.9,0,0.9,15.75,5.71,,0,5.71,'25/06/20,,'25/07/16
2073,雄順,12/30,26.4,0,0,2025,年,0.7,0,0.7,28.85,2.43,,0,2.43,'25/07/09,,'25/08/01
2211,長榮鋼,12/30,97.6,-2.1,-2.11,2025,年,5,0,5,82,6.1,,0,6.1,'25/07/17,,'25/08/08
3004,豐達科,12/30,102.5,-5,-4.65,2025,年,3.01,0,3.01,97.2,3.1,,0,3.1,'25/04/01,,'25/05/02
4950,金耘國際,12/30,18,-0.2,-1.1,2025,年,0,0,0,,0,,0,0,,,
5007,三星,12/30,56.1,+0.1,+0.18,2025,年,3,0,3,56,5.36,,0,5.36,'25/03/25,,'25/04/18
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
5009,榮剛,12/30,32.1,-0.25,-0.77,2026,季,0,0,0,,0,,,0,,,
5011,久陽,12/30,10.05,0,0,2025,年,0.2,0,0.2,11.05,1.81,,0,1.81,'25/11/10,,'25/11/28
5013,強新,12/30,28.55,0,0,2025,年,0.8,0,0.8,28.75,2.78,,0,2.78,'25/08/28,,'25/09/25
5014,建錩,12/30,10.1,0,0,2025,年,0.303,0,0.303,11.25,2.7,,0,2.7,'25/07/18,,'25/08/07
