代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1603,華電,12/30,37.15,-0.45,-1.2,2025,年,1.5,0,1.5,40.5,3.7,,0,3.7,'25/08/28,,'25/09/22
1604,聲寶,12/30,24.45,-0.1,-0.41,2025,年,1.5,0,1.5,27.8,5.4,,0,5.4,'25/04/11,,'25/05/14
1605,華新,12/30,31.75,-0.55,-1.7,2025,年,0.5,0,0.5,20.9,2.39,,0,2.39,'25/06/04,,'25/07/08
1608,華榮,12/30,37.95,-1.25,-3.19,2025,年,1,0,1,26.85,3.72,,0,3.72,'25/07/15,,'25/08/20
1609,大亞,12/30,38.25,-0.8,-2.05,2025,年,0.75,0.15,0.9,38,1.97,38,0.39,2.37,'25/07/14,'25/07/14,'25/08/08
1611,中電,12/30,13,-0.1,-0.76,2025,年,0.8,0,0.8,16.4,4.88,,0,4.88,'25/03/26,,'25/04/24
1612,宏泰,12/30,34.4,-0.5,-1.43,2025,年,2.1,0,2.1,36.25,5.79,,0,5.79,'25/07/09,,'25/07/31
1614,三洋電,12/30,34.3,+0.15,+0.44,2025,年,0.582,0,0.582,39.1,1.49,,0,1.49,'25/07/15,,'25/08/06
1615,大山,12/30,49.95,-0.15,-0.3,2025,年,2,0.5,2.5,54.3,3.68,54.3,0.92,4.6,'25/08/15,'25/08/15,'25/09/03
1616,億泰,12/30,28.45,-0.7,-2.4,2025,年,1.804,0,1.804,34.6,5.21,,0,5.21,'25/07/09,,'25/08/01
1617,榮星,12/30,14.8,+0.1,+0.68,2025,年,0.5,0,0.5,15.75,3.17,,0,3.17,'25/07/24,,'25/08/26
1618,合機,12/30,42.55,-1.2,-2.74,2025,年,1.5,0,1.5,47.9,3.13,,0,3.13,'25/08/18,,'25/09/19
1626,艾美特-KY,12/30,11.05,-0.15,-1.34,2025,年,0,0,0,,0,,0,0,,,
2061,風青,12/30,19.15,+0.45,+2.41,2026,季,0,0,0,,0,,,0,,,
4930,燦星網,12/30,22.05,-0.1,-0.45,2025,年,1.6,0,1.6,30,5.33,,0,5.33,'25/04/01,,'25/04/30
5283,禾聯碩,12/30,61.2,+0.1,+0.16,2026,半年,0.2,0.8,1,61.2,0.33,61.2,1.31,1.63,,,
