代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2347,聯強,12/30,58.7,+0.6,+1.03,2025,年,4,0,4,71.1,5.63,,0,5.63,'25/06/23,,'25/07/18
2414,精技,12/30,40.9,-0.15,-0.37,2025,年,2.5,0,2.5,44.35,5.64,,0,5.64,'25/07/24,,'25/08/08
2430,燦坤,12/30,22.85,-0.05,-0.22,2025,年,1.5,0,1.5,31.95,4.69,,0,4.69,'25/03/20,,'25/04/23
3010,華立,12/30,106,-3,-2.75,2025,年,5.3,0,5.3,98.6,5.38,,0,5.38,'25/06/23,,'25/07/18
3028,增你強,12/30,37.5,+0.4,+1.08,2025,年,2.1,0,2.1,33.9,6.19,,0,6.19,'25/07/10,,'25/07/31
3033,威健,12/30,30.35,+0.1,+0.33,2025,年,2.084,0,2.084,35.4,5.89,,0,5.89,'25/08/11,,'25/09/11
3036,文曄,12/30,137,+1,+0.74,2025,年,5.998,0,5.998,133.5,4.49,,0,4.49,'25/06/30,,'25/07/23
3036A,文曄甲特,12/30,51.4,0,0,2025,年,2,0,2,51.4,3.89,,0,3.89,'25/06/30,,'25/07/23
3048,益登,12/30,41.85,+1.05,+2.57,2025,年,0,0,0,,0,,0,0,,,
3055,蔚華科,12/30,81.8,+2,+2.51,2025,年,1,0,1,65.6,1.52,,0,1.52,'25/07/11,,'25/08/08
3209,全科,12/30,31.5,-0.2,-0.63,2025,年,2.485,0,2.485,35.7,6.96,,0,6.96,'25/08/12,,'25/08/29
3224,三顧,12/30,44.1,-0.15,-0.34,2025,年,0,0,0,,0,,0,0,,,
3232,昱捷,12/30,24.2,-0.25,-1.02,2025,年,0.5,0,0.5,25.65,1.95,,0,1.95,'25/08/14,,'25/09/15
3312,弘憶股,12/30,35.3,-0.35,-0.98,2025,年,1.4,0,1.4,47.1,2.97,,0,2.97,'25/07/30,,'25/08/19
3360,尚立,12/30,12.6,-0.1,-0.79,2025,年,0,0,0,,0,,0,0,,,
3444,利機,12/30,73.5,+0.4,+0.55,2025,年,2,0,2,53.3,3.75,,0,3.75,'25/07/24,,'25/08/26
3528,安馳,12/30,66.3,-0.8,-1.19,2025,年,3,0,3,73.9,4.06,,0,4.06,'25/09/01,,'25/09/22
3702,大聯大,12/30,57.8,+0.4,+0.7,2025,年,3.2,0,3.2,72.4,4.42,,0,4.42,'25/07/24,,'25/08/21
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
5434,崇越,12/30,289.5,-2.5,-0.86,2025,年,11.99,0,11.99,274.5,4.37,,0,4.37,'25/07/01,,'25/07/29
6113,亞矽,12/30,19.95,-0.35,-1.72,2025,年,0.5,0,0.5,25.9,1.93,,0,1.93,'25/07/04,,'25/07/31
6118,建達,12/30,20.7,+0.2,+0.98,2025,年,0,0,0,,0,,0,0,,,
6154,順發,12/30,13.6,+0.1,+0.74,2025,年,0.6,0,0.6,15.15,3.96,,0,3.96,'25/06/17,,'25/07/17
6189,豐藝,12/30,44.65,-0.35,-0.78,2025,年,4,2,6,79,5.06,79,2.53,7.59,'25/07/25,'25/07/25,'25/08/29
6227,茂綸,12/30,82.6,-0.3,-0.36,2025,年,3.8,0,3.8,93.9,4.05,,0,4.05,'25/08/28,,'25/09/19
6265,方土昶,12/30,29.25,+2.65,+9.96,2025,年,0,0,0,,0,,0,0,,,
6270,倍微,12/30,21.7,-0.15,-0.69,2025,年,1,0,1,22.3,4.48,,0,4.48,'25/07/03,,'25/07/25
6281,全國電,12/30,62.7,-0.2,-0.32,2025,年,4,0,4,81,4.94,,0,4.94,'25/03/21,,'25/04/24
6474,華豫寧,12/30,35,-0.2,-0.57,2025,年,2.5,0,2.5,47.75,5.24,,0,5.24,'25/07/17,,'25/08/11
