代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1336,台翰,12/30,15.85,+0.15,+0.96,2025,年,0.945,0,0.945,19.7,4.8,,0,4.8,'25/07/10,,'25/08/06
1471,首利,12/30,8.79,-0.02,-0.23,2025,年,0,0,0,,0,,0,0,,,
1582,信錦,12/30,66.7,-0.1,-0.15,2025,年,5.5,0,5.5,77,7.14,,0,7.14,'25/06/16,,'25/07/11
1595,川寶,12/30,44.9,+4.05,+9.91,2025,年,0.501,0,0.501,30.7,1.63,,0,1.63,'25/07/10,,'25/08/04
1815,富喬,12/30,96.9,-1.9,-1.92,2025,年,0,0,0,,0,,0,0,,,
2059,川湖,12/30,3785,+20,+0.53,2025,年,32.2,0,32.2,2940,1.1,,0,1.1,'25/08/28,,'25/09/30
2308,台達電,12/30,961,-1,-0.1,2025,年,7,0,7,400.5,1.75,,0,1.75,'25/06/17,,'25/07/23
2313,華通,12/30,98,+1.4,+1.45,2025,年,2.4,0,2.4,60.5,3.97,,0,3.97,'25/06/03,,'25/06/27
2316,楠梓電,12/30,102.5,-1,-0.97,2025,年,0.5,0,0.5,55,0.91,,0,0.91,'25/07/10,,'25/07/31
2327,國巨*,12/30,225.5,+3,+1.35,2026,半年,0,0,0,,,,0,0,,,
2328,廣宇,12/30,48.5,+0.45,+0.94,2025,年,1.1,0,1.1,41.3,2.66,,0,2.66,'25/06/27,,'25/07/25
2355,敬鵬,12/30,31.05,-0.55,-1.74,2025,年,1.85,0,1.85,32.5,5.69,,0,5.69,'25/07/14,,'25/08/11
2367,燿華,12/30,27.95,+0.2,+0.72,2025,年,0.703,0,0.703,31.45,2.24,,0,2.24,'25/08/29,,'25/09/25
2368,金像電,12/30,692,-5,-0.72,2025,年,6,0,6,269.5,2.23,,0,2.23,'25/06/24,,'25/07/23
2375,凱美,12/30,88,-1.1,-1.23,2026,半年,0,0,0,,0,,,0,,,
2383,台光電,12/30,1645,-30,-1.79,2025,年,16.58,0,16.58,1280,1.29,,0,1.29,'25/08/28,,'25/09/26
2385,群光,12/30,118,+1,+0.85,2025,年,10,0,10,153,6.54,,0,6.54,'25/06/17,,'25/07/11
2392,正崴,12/30,37.1,-0.1,-0.27,2025,年,2.5,0,2.5,58,4.31,,0,4.31,'25/07/18,,'25/08/15
