代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1503,士電,12/30,172.5,-1,-0.58,2025,年,4.5,0,4.5,182,2.47,,0,2.47,'25/07/24,,'25/08/20
1504,東元,12/30,84.9,-2.5,-2.86,2025,年,2.2,0,2.2,52.6,4.18,,0,4.18,'25/06/19,,'25/07/16
1506,正道,12/30,11.6,+0.05,+0.43,2025,年,0,0,0,,0,,0,0,,,
1513,中興電,12/30,151,+0.5,+0.33,2025,年,4.6,0,4.6,168,2.74,,0,2.74,'25/08/28,,'25/09/24
1514,亞力,12/30,100.5,-0.5,-0.5,2025,年,1.699,0.2,1.899,107,1.59,107,0.19,1.78,'25/09/09,'25/09/09,'25/10/14
1515,力山,12/30,27.65,-0.25,-0.9,2025,年,1,0,1,29.85,3.35,,0,3.35,'25/06/12,,'25/07/09
1517,利奇,12/30,11.1,0,0,2025,年,0.2,0,0.2,10.65,1.88,,0,1.88,'25/09/12,,'25/10/09
1519,華城,12/30,773,-5,-0.64,2025,年,9,1,10,659,1.37,659,0.15,1.52,'25/07/25,'25/07/25,'25/08/29
1526,日馳,12/30,16.85,0,0,2025,半年,0,0,0,,0,,0,0,,,
1527,鑽全,12/30,32.7,-0.1,-0.3,2025,年,2.2,0,2.2,39.25,5.61,,0,5.61,'25/08/04,,'25/08/29
1528,恩德,12/30,23.1,+1.05,+4.76,2025,年,0.1,0,0.1,16.2,0.62,,0,0.62,'25/09/19,,'25/10/17
1529,樂事綠能,12/30,18.95,-0.35,-1.81,2025,年,0.2,0,0.2,26.4,0.76,,0,0.76,'25/08/26,,'25/09/10
1530,亞崴,12/30,27.25,0,0,2025,年,1.532,0,1.532,30.45,5.03,,0,5.03,'25/07/02,,'25/07/29
1531,高林股,12/30,12.1,+0.05,+0.41,2025,年,0.4,0,0.4,12.6,3.17,,0,3.17,'25/07/14,,'25/08/01
1532,勤美,12/30,26.4,-0.25,-0.94,2025,年,1.734,0,1.734,26.6,6.52,,0,6.52,'25/07/22,,'25/08/14
1535,中宇,12/30,52.7,+0.2,+0.38,2025,年,3,0,3,57.5,5.22,,0,5.22,'25/07/21,,'25/08/15
1537,廣隆,12/30,125.5,0,0,2025,年,10.5,0,10.5,145,7.24,,0,7.24,'25/08/19,,'25/09/09
1538,正峰,12/30,26.45,+0.15,+0.57,2025,年,0,0,0,,0,,0,0,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1539,巨庭,12/30,17.35,0,0,2025,年,0.85,0,0.85,18.85,4.51,,0,4.51,'25/08/25,,'25/09/12
1540,喬福,12/30,22.9,-0.35,-1.51,2025,年,1.6,0,1.6,29.9,5.35,,0,5.35,'25/07/15,,'25/08/05
1541,錩泰,12/30,23.2,-0.05,-0.22,2025,年,0.5,0,0.5,25.9,1.93,,0,1.93,'25/08/27,,'25/09/19
1558,伸興,12/30,104,+2,+1.96,2025,年,6,0,6,104,5.77,,0,5.77,'25/07/25,,'25/08/29
1560,中砂,12/30,399,+21.5,+5.7,2025,年,3.987,0,3.987,363,1.1,,0,1.1,'25/07/21,,'25/08/13
1570,力肯,12/30,32.25,+0.25,+0.78,2025,年,1.3,0,1.3,23.9,5.44,,0,5.44,'25/07/30,,'25/08/28
1580,新麥,12/30,134,0,0,2025,年,9.163,0,9.163,148,6.19,,0,6.19,'25/08/14,,'25/09/11
1583,程泰,12/30,44.65,-0.2,-0.45,2025,年,3.027,0,3.027,55.2,5.48,,0,5.48,'25/07/08,,'25/08/04
1586,和勤,12/30,24.9,+0.1,+0.4,2025,年,0.3,0,0.3,27.05,1.11,,0,1.11,'25/10/09,,'25/11/04
1589,永冠-KY,12/30,16.95,+0.05,+0.3,2025,年,0,0,0,,0,,0,0,,,
1590,亞德客-KY,12/30,942,+10,+1.07,2025,年,19.55,0,19.55,782,2.5,,0,2.5,'25/09/23,,'25/10/30
1591,駿吉-KY,12/30,50.3,+0.1,+0.2,2026,半年,0,0,0,,,,0,0,,,
1597,直得,12/30,72.1,-0.8,-1.1,2025,半年,0.7,0,0.7,85,0.82,,0,0.82,'25/08/21,,
1599,宏佳騰,12/30,30.35,+2.75,+9.96,2025,年,0.507,0,0.507,30.15,1.68,,0,1.68,'25/09/23,,'25/10/14
2049,上銀,12/30,194.5,-1.5,-0.77,2025,年,2.4,0,2.4,206,1.17,,0,1.17,'25/07/17,,'25/08/15
2066,世德,12/30,50,+0.65,+1.32,2026,半年,0,0,0,,0,,,0,,,
2067,嘉鋼,12/30,10,-0.2,-1.96,2025,年,0,0,0,,0,,0,0,,,
2070,精湛,12/30,41.25,-0.65,-1.55,2025,半年,1,0,1,43.8,2.07,,0,2.07,'25/08/20,,'25/09/17
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2230,泰茂,12/30,93.2,+0.7,+0.76,2025,年,1,2,3,124,0.81,124,1.61,2.42,'25/07/01,'25/07/01,'25/08/04
2235,謚源,12/30,34.3,+0.9,+2.69,2025,年,3,0,3,45.3,6.62,,0,6.62,'25/07/15,,'25/08/14
2371,大同,12/30,31.9,-0.7,-2.15,2026,半年,0,0,0,,0,,,0,,,
3162,精確,12/30,57.8,+0.1,+0.17,2025,年,0.501,0,0.501,50.3,1,,0,1,'25/08/14,,'25/09/10
3167,大量,12/30,241.5,+1.5,+0.62,2025,年,0.999,0,0.999,210.5,0.47,,0,0.47,'25/08/28,,'25/09/18
3226,龍鋒,12/30,42.75,-0.25,-0.58,2025,年,0.5,0,0.5,47,1.06,,0,1.06,'25/08/20,,'25/09/12
