代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1569,濱川,12/30,54.8,+0.2,+0.37,2025,年,0,0,0,,0,,0,0,,,
2301,光寶科,12/30,162,-3,-1.82,2025,季,4.507,0,4.507,134,3.87,,0,3.87,'25/08/19,,'25/09/11
2305,全友,12/30,10.9,-0.05,-0.46,2025,年,0,0,0,,0,,0,0,,,
2324,仁寶,12/30,30.35,-0.05,-0.16,2025,年,1.4,0,1.4,36.5,3.84,,0,3.84,'25/03/27,,'25/04/25
2331,精英,12/30,22.25,-0.35,-1.55,2025,半年,0.21,0,0.21,18.25,1.15,,0,1.15,'25/08/05,,
2352,佳世達,12/30,23.65,-0.15,-0.63,2025,年,1.11,0,1.11,26.7,4.16,,0,4.16,'25/07/24,,'25/08/22
2353,宏碁,12/30,26.7,+1.35,+5.33,2025,年,1.7,0,1.7,35.2,4.83,,0,4.83,'25/06/19,,'25/07/24
2356,英業達,12/30,42.3,-0.2,-0.47,2025,年,1.7,0,1.7,44,3.86,,0,3.86,'25/07/10,,'25/08/01
2357,華碩,12/30,540,-3,-0.55,2025,年,34,0,34,700,4.86,,0,4.86,'25/06/26,,'25/07/17
2362,藍天,12/30,38.75,-0.15,-0.39,2025,年,2.53,0,2.53,46,5.5,,0,5.5,'25/06/24,,'25/07/21
2364,倫飛,12/30,66.8,-0.8,-1.18,2025,年,0,3,3,,0,99.3,3.02,3.02,,'25/08/28,
2365,昆盈,12/30,35.3,-0.3,-0.84,2026,季,0,0,0,,0,,,0,,,
2376,技嘉,12/30,246,+7.5,+3.14,2025,年,10,0,10,282.5,3.54,,0,3.54,'25/07/30,,'25/08/28
2377,微星,12/30,96,+0.5,+0.52,2025,年,5,0,5,139,3.6,,0,3.6,'25/08/25,,'25/09/18
2380,虹光,12/30,4.86,-0.04,-0.82,2025,半年,0,0,0,,0,,0,0,,,
2382,廣達,12/30,263,0,0,2025,半年,13,0,13,285.5,4.55,,0,4.55,'25/06/30,,'25/07/24
2387,精元,12/30,38.5,-0.35,-0.9,2025,年,4,0,4,50.4,7.94,,0,7.94,'25/06/24,,'25/07/21
2395,研華,12/30,287,+0.5,+0.17,2025,年,8.392,0,8.392,337.5,2.49,,0,2.49,'25/07/17,,'25/08/08
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
2397,友通,12/30,61.3,-0.5,-0.81,2025,年,3.4,0,3.4,66,5.15,,0,5.15,'25/06/25,,'25/07/25
2399,映泰,12/30,24.4,-0.7,-2.79,2025,年,0,0,0,,0,,0,0,,,
2405,輔信,12/30,18,-0.15,-0.83,2026,半年,0,0,0,,0,,,0,,,
2417,圓剛,12/30,40.1,-0.95,-2.31,2025,年,0.2,0,0.2,36.6,0.55,,0,0.55,'25/07/07,,'25/07/31
2425,承啟,12/30,30.35,-0.3,-0.98,2025,年,0.15,0,0.15,34.3,0.44,,0,0.44,'25/07/08,,'25/07/31
2432,倚天酷碁-創,12/30,25.55,-0.1,-0.39,2025,年,1.7,0,1.7,29.3,5.8,,0,5.8,'25/07/03,,'25/07/29
2465,麗臺,12/30,58.4,-0.9,-1.52,2025,年,0,0,0,,0,,0,0,,,
2495,普安,12/30,32.7,+1.5,+4.81,2025,年,1.3,0,1.3,23.45,5.54,,0,5.54,'25/07/25,,'25/08/27
3002,歐格,12/30,25.6,-0.8,-3.03,2025,年,0.698,0,0.698,17.1,4.08,,0,4.08,'25/09/17,,'25/10/17
3005,神基,12/30,117.5,-0.5,-0.42,2025,年,5.986,0,5.986,120.5,4.97,,0,4.97,'25/06/26,,'25/07/23
3013,晟銘電,12/30,131.5,+1,+0.77,2025,年,0.6,0,0.6,123.5,0.49,,0,0.49,'25/07/14,,'25/08/08
3017,奇鋐,12/30,1530,-15,-0.97,2025,年,9.93,0,9.93,1145,0.87,,0,0.87,'25/08/19,,'25/09/22
3022,威強電,12/30,64.9,+0.1,+0.15,2025,年,4.5,0,4.5,80.1,5.62,,0,5.62,'25/07/17,,'25/08/15
3046,建碁,12/30,51.9,+0.6,+1.17,2025,年,2.7,0,2.7,49.35,5.47,,0,5.47,'25/07/03,,'25/07/29
3057,喬鼎,12/30,21.25,+0.4,+1.92,2025,年,0,0,0,,0,,0,0,,,
3060,銘異,12/30,32.25,+0.45,+1.42,2025,年,0.35,0,0.35,20.45,1.71,,0,1.71,'25/07/16,,'25/08/07
3071,協禧,12/30,23.6,+0.45,+1.94,2025,年,0.81,0,0.81,18.5,4.38,,0,4.38,'25/07/17,,'25/08/15
3088,艾訊,12/30,76.8,-0.2,-0.26,2025,年,4.332,0,4.332,90.1,4.81,,0,4.81,'25/07/31,,'25/08/22
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
3211,順達,12/30,342.5,-2.5,-0.72,2025,年,12.5,0,12.5,193.5,6.46,,0,6.46,'25/06/10,,'25/07/07
3213,茂訊,12/30,102.5,-0.5,-0.49,2025,年,6,0,6,104.5,5.74,,0,5.74,'25/06/27,,'25/07/25
3231,緯創,12/30,147,+1,+0.68,2025,年,3.799,0,3.799,115,3.3,,0,3.3,'25/06/03,,'25/06/27
3272,東碩,12/30,19.7,-0.2,-1.01,2025,年,0,0,0,,0,,0,0,,,
3287,廣寰科,12/30,28.65,-0.45,-1.55,2025,年,1.5,0,1.5,36.45,4.12,,0,4.12,'25/08/07,,'25/09/05
3323,加百裕,12/30,41,+0.35,+0.86,2025,年,0.5,0,0.5,33.5,1.49,,0,1.49,'25/07/17,,'25/08/15
3325,旭品,12/30,17.4,-0.25,-1.42,2025,年,0,0,0,,0,,0,0,,,
3349,寶德,12/30,30.65,-1,-3.16,2025,年,0,0,0,,0,,0,0,,,
3416,融程電,12/30,151.5,-1,-0.66,2025,年,5.5,0,5.5,138.5,3.97,,0,3.97,'25/06/30,,'25/07/25
3479,安勤,12/30,91.4,-0.6,-0.65,2025,年,5.2,0,5.2,99.7,5.22,,0,5.22,'25/07/03,,'25/07/31
3483,力致,12/30,93,+0.5,+0.54,2025,年,3.5,1.5,5,133.5,2.62,133.5,1.12,3.75,'25/09/09,'25/09/09,'25/10/09
3494,誠研,12/30,8.84,-0.21,-2.32,2025,年,0,0,0,,0,,0,0,,,
3515,華擎,12/30,246,-4,-1.6,2025,年,5.301,0,5.301,244,2.17,,0,2.17,'25/06/26,,'25/07/22
3540,曜越,12/30,31.25,-0.6,-1.88,2025,年,0,0,0,,0,,0,0,,,
3577,泓格,12/30,64.8,+0.7,+1.09,2025,年,1.5,0,1.5,92.8,1.62,,0,1.62,'25/07/10,,'25/08/08
3594,磐儀,12/30,38.45,+0.7,+1.85,2025,年,0.799,0,0.799,42.55,1.88,,0,1.88,'25/09/04,,'25/09/30
3611,鼎翰,12/30,204.5,+1,+0.49,2025,年,9.981,0,9.981,197,5.07,,0,5.07,'25/07/22,,'25/08/15
3625,西勝,12/30,21.4,+0.8,+3.88,2025,年,0,0,0,,0,,0,0,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
3652,精聯,12/30,28.75,-0.05,-0.17,2025,年,0.6,0,0.6,27.65,2.17,,0,2.17,'25/07/10,,'25/08/06
3693,營邦,12/30,279,-1.5,-0.53,2025,年,11,0,11,280.5,3.92,,0,3.92,'25/08/28,,'25/09/19
3701,大眾控,12/30,53.6,+4.55,+9.28,2025,年,0.2,0,0.2,39.6,0.51,,0,0.51,'25/10/07,,'25/11/05
3706,神達,12/30,83.5,+0.3,+0.36,2025,年,1,1,2,100.5,1,100.5,1,1.99,'25/08/28,'25/08/28,'25/09/24
3709,鑫聯大投控,12/30,49.9,+0.85,+1.73,2025,年,1,0,1,35.95,2.78,,0,2.78,'25/06/24,,'25/07/24
3712,永崴投控,12/30,24.7,-0.6,-2.37,2025,年,3,0,3,52.9,5.67,,0,5.67,'25/07/24,,'25/08/15
4916,事欣科,12/30,58.1,-1.5,-2.52,2025,年,0.376,0,0.376,47.15,0.8,,0,0.8,'25/07/28,,'25/08/20
4924,欣厚-KY,12/30,11.4,+0.05,+0.44,2025,半年,0,0,0,,0,,0,0,,,
4931,新盛力,12/30,180,+3,+1.69,2025,年,2.002,0,2.002,98.4,2.03,,0,2.03,'25/07/17,,'25/08/14
4938,和碩,12/30,68.5,-0.2,-0.29,2025,年,4.503,0,4.503,83,5.43,,0,5.43,'25/06/17,,'25/07/09
4987,科誠,12/30,71.4,+0.8,+1.13,2025,年,5.2,0,5.2,84.9,6.12,,0,6.12,'25/07/23,,'25/08/15
5215,科嘉-KY,12/30,35.05,0,0,2025,年,2.5,0,2.5,38.65,6.47,,0,6.47,'25/07/14,,'25/08/08
5223,安力-KY,12/30,28.4,+0.1,+0.35,2025,年,0,0,0,,0,,0,0,,,
5258,虹堡,12/30,67.9,-1.4,-2.02,2025,年,2.518,0,2.518,73.2,3.44,,0,3.44,'25/08/07,,'25/09/04
5289,宜鼎,12/30,524,+7,+1.35,2025,年,9.377,0.2,9.577,297.5,3.15,297.5,0.07,3.22,'25/08/28,'25/08/28,'25/10/03
5356,協益,12/30,24.85,-0.05,-0.2,2025,年,2.3,0,2.3,29.3,7.85,,0,7.85,'25/07/02,,'25/07/24
5386,青雲,12/30,85,+6.3,+8.01,2025,年,0.591,1.378,1.968,77.2,0.76,77.2,1.78,2.55,'25/07/21,'25/07/21,'25/08/22
5426,振發,12/30,19.55,-0.3,-1.51,2025,年,0.5,0,0.5,25.05,2,,0,2,'25/07/29,,'25/08/29
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
5438,東友,12/30,23.4,+0.05,+0.21,2025,半年,0.65,0,0.65,22.95,2.83,,0,2.83,'25/08/01,,'25/08/28
5465,富驊,12/30,29.1,-0.2,-0.68,2025,年,1.8,0,1.8,38.5,4.68,,0,4.68,'25/07/10,,'25/08/15
5474,聰泰,12/30,154.5,-2,-1.28,2025,年,4,0,4,165.5,2.42,,0,2.42,'25/07/01,,'25/07/25
5490,同亨,12/30,27.65,+0.05,+0.18,2025,年,0.35,0,0.35,26.85,1.3,,0,1.3,'25/07/03,,'25/07/25
6117,迎廣,12/30,83.5,+0.5,+0.6,2025,年,2.172,0,2.172,95.8,2.27,,0,2.27,'25/08/15,,'25/08/29
6121,新普,12/30,364,+1,+0.28,2025,半年,20.9,0,20.9,361.5,5.67,,0,5.67,'25/12/17,,'26/01/21
6128,上福,12/30,22.8,-0.05,-0.22,2025,年,2.5,0,2.5,35.5,7.04,,0,7.04,'25/04/17,,'25/05/13
6150,撼訊,12/30,63.6,-1.2,-1.85,2025,年,0,0,0,,0,,0,0,,,
6160,欣技,12/30,17.45,-0.15,-0.85,2025,年,0,0,0,,0,,0,0,,,
6161,捷波,12/30,45.6,-0.6,-1.3,2025,年,3,0,3,44.05,6.81,,0,6.81,'25/07/31,,'25/08/20
6166,凌華,12/30,63.7,-1.2,-1.85,2025,年,0.933,0,0.933,62.2,1.5,,0,1.5,'25/07/10,,'25/08/08
6188,廣明,12/30,110.5,+5,+4.74,2025,半年,3.5,0,3.5,101.5,3.49,,0,3.49,'25/08/18,,'25/09/11
6206,飛捷,12/30,90.9,-0.7,-0.76,2025,年,6,0,6,135,4.44,,0,4.44,'25/07/22,,'25/08/19
6228,全譜,12/30,27.25,-0.1,-0.37,2025,年,0,0,0,,0,,0,0,,,
6230,尼得科超眾,12/30,117,+1,+0.86,2025,年,0.222,0,0.222,145.5,0.15,,0,0.15,'25/08/22,,'25/09/15
6235,華孚,12/30,63,-1.3,-2.02,2025,年,1.22,0,1.22,58.6,2.08,,0,2.08,'25/03/21,,'25/04/23
6276,安鈦克,12/30,38.5,-0.3,-0.77,2025,年,0,0,0,,0,,0,0,,,
6277,宏正,12/30,61.3,0,0,2026,季,0,0,0,,0,,,0,,,
