代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1201,味全,12/30,14.6,-0.05,-0.34,2025,年,0.5,0,0.5,16,3.12,,0,3.12,'25/07/23,,'25/08/20
1203,味王,12/30,40.05,-0.1,-0.25,2025,年,1.2,0,1.2,40.5,2.96,,0,2.96,'25/09/04,,'25/10/03
1210,大成,12/30,51,-0.4,-0.78,2025,年,2.828,0,2.828,61.1,4.63,,0,4.63,'25/08/08,,'25/09/12
1213,大飲,12/30,10.6,+0.15,+1.44,2025,年,0.35,0,0.35,13,2.69,,0,2.69,'25/06/26,,'25/07/28
1215,卜蜂,12/30,131.5,-2,-1.5,2025,年,4.5,0,4.5,113,3.98,,0,3.98,'25/05/28,,'25/06/20
1216,統一,12/30,77.8,-1.8,-2.26,2025,年,3,0,3,82.7,3.63,,0,3.63,'25/07/31,,'25/09/05
1217,愛之味,12/30,10.45,-0.05,-0.48,2025,年,0.37,0,0.37,11.7,3.16,,0,3.16,'25/04/24,,'25/05/28
1218,泰山,12/30,18.15,0,0,2025,季,1.35,0,1.35,21.65,6.24,,0,6.24,'25/06/26,,'25/07/18
1219,福壽,12/30,13.45,-0.05,-0.37,2025,半年,0.5,0,0.5,15.2,3.29,,0,3.29,'25/06/11,,'25/06/27
1220,台榮,12/30,12.5,-0.05,-0.4,2025,年,0.7,0,0.7,14.05,4.98,,0,4.98,'25/07/16,,'25/08/18
1225,福懋油,12/30,29,-0.3,-1.02,2025,年,0.14,0.55,0.69,31.65,0.44,31.65,1.74,2.18,'25/09/24,'25/09/24,'25/10/29
1227,佳格,12/30,30.3,-0.25,-0.82,2025,年,1.4,0,1.4,32.7,4.28,,0,4.28,'25/07/17,,'25/08/15
1229,聯華,12/30,47.85,-0.15,-0.31,2026,季,0,0,0,,0,,0,0,,,
1231,聯華食,12/30,98.4,-1.2,-1.2,2025,年,1.6,1,2.6,149.5,1.07,149.5,0.67,1.74,'25/08/21,'25/08/21,'25/09/26
1232,大統益,12/30,145,-0.5,-0.34,2025,年,7,0,7,163.5,4.28,,0,4.28,'25/06/11,,'25/07/10
1233,天仁,12/30,32.05,+0.05,+0.16,2025,年,0.95,0,0.95,31.2,3.04,,0,3.04,'25/07/16,,'25/08/15
1234,黑松,12/30,38.05,-0.05,-0.13,2025,年,1.9,0,1.9,42.1,4.51,,0,4.51,'25/06/30,,'25/07/25
1235,興泰,12/30,45.4,-0.45,-0.98,2025,年,0.5,2,2.5,67.6,0.74,67.6,2.96,3.7,'25/10/08,'25/10/08,'25/11/07
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1236,宏亞,12/30,25.7,-0.45,-1.72,2025,年,0.6,0,0.6,21.9,2.74,,0,2.74,'25/07/10,,'25/08/07
1256,鮮活果汁-KY,12/30,147.5,+5,+3.51,2025,年,4.7,0,4.7,120.5,3.9,,0,3.9,'25/07/16,,'25/08/18
1264,德麥,12/30,281,-0.5,-0.18,2025,年,14.5,0,14.5,324.5,4.47,,0,4.47,'25/07/15,,'25/08/08
1294,漢田生技,12/30,78.9,-0.1,-0.13,2025,年,3.13,1.008,4.138,73.5,4.26,81.9,1.23,5.49,'25/07/15,'25/07/31,'25/08/11
1295,生合,12/30,85.6,-1.7,-1.95,2025,年,3.5,0,3.5,75,4.67,,0,4.67,'25/03/27,,'25/04/22
1702,南僑,12/30,39.15,-0.4,-1.01,2025,年,2.5,0,2.5,46.35,5.39,,0,5.39,'25/06/03,,'25/06/27
1737,臺鹽,12/30,31.6,-0.1,-0.32,2025,年,1.3,0,1.3,33.45,3.89,,0,3.89,'25/08/20,,'25/09/16
1796,金穎生技,12/30,48,-0.1,-0.21,2025,年,0,0,0,,0,,0,0,,,
3054,立萬利,12/30,31.8,+1.3,+4.26,2025,半年,0,0,0,,0,,0,0,,,
4205,中華食,12/30,81.5,+0.1,+0.12,2025,年,2,1,3,97.6,2.05,97.6,1.02,3.07,'25/07/30,'25/07/30,'25/09/03
4207,環泰,12/30,18.25,-0.1,-0.54,2025,年,1,0,1,17.1,5.85,,0,5.85,'25/04/07,,'25/05/08
6846,綠茵,12/30,73.8,0,0,2026,年,3.599,0,3.599,73.8,4.88,,0,4.88,,,
7743,金利食安,12/30,21.2,0,0,2025,年,1.4,0,1.4,42.5,3.29,,0,3.29,'25/04/18,,'25/05/27
7780,大研生醫,12/30,172,-0.5,-0.29,2025,季,9.523,0,9.523,181,4.27,,0,4.27,'25/11/24,,'25/12/30
7791,皇家可口,12/30,72.5,0,0,2025,年,3.3,0,3.3,85,3.88,,0,3.88,'25/06/13,,'25/07/04
